site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
32 Eardley Crescent SW5 9JZ,yes,,2017-12-31,,0.016,5,5,,local-authority-eng:KEC,not owned by a public authority,2017-02-13,https://www.rbkc.gov.uk/PP/16/06226,permissioned,full planning permission,RBKC034,https://lbhf.maps.arcgis.com/apps/webappviewer/index.html?id=931fa3b3294b4147a518648579b12d4a,2017-12-31
76-86 Sloane Avenue SW3 3DZ,yes,,2017-12-31,,0.048,5,5,,local-authority-eng:KEC,not owned by a public authority,2017-01-25,https://www.rbkc.gov.uk/PP/16/07621,permissioned,full planning permission,RBKC035,https://lbhf.maps.arcgis.com/apps/webappviewer/index.html?id=931fa3b3294b4147a518648579b12d4a,2017-12-31
Cineworld Cinema 279 King's Road SW3 5EW,yes,,2017-12-31,,0.088,11,11,,local-authority-eng:KEC,not owned by a public authority,2017-02-27,https://www.rbkc.gov.uk/PP/16/08015,permissioned,full planning permission,RBKC036,https://lbhf.maps.arcgis.com/apps/webappviewer/index.html?id=931fa3b3294b4147a518648579b12d4a,2017-12-31
60-62 Walton Street SW3 2HH,yes,,2017-12-31,,0.046,7,7,,local-authority-eng:KEC,not owned by a public authority,2017-03-03,https://www.rbkc.gov.uk/PP/16/08207,permissioned,full planning permission,RBKC037,https://lbhf.maps.arcgis.com/apps/webappviewer/index.html?id=931fa3b3294b4147a518648579b12d4a,2017-12-31
Ladbroke Hall South Wing 79 Barlby Road W10 6AZ,yes,,2017-12-31,,0.07,5,5,,local-authority-eng:KEC,not owned by a public authority,2017-02-14,https://www.rbkc.gov.uk/PP/16/08360,permissioned,full planning permission,RBKC038,https://lbhf.maps.arcgis.com/apps/webappviewer/index.html?id=931fa3b3294b4147a518648579b12d4a,2017-12-31
26 Redcliffe Gardens SW10 9HA,yes,,2017-12-31,,0.022,5,5,,local-authority-eng:KEC,not owned by a public authority,2017-05-09,https://www.rbkc.gov.uk/PP/16/08497,permissioned,full planning permission,RBKC039,https://lbhf.maps.arcgis.com/apps/webappviewer/index.html?id=931fa3b3294b4147a518648579b12d4a,2017-12-31
100-100A West Cromwell Road,yes,,2017-12-31,,1.528248,450,278,,local-authority-eng:KEC,mixed ownership,2017-04-11,https://www.rbkc.gov.uk/PP/15/03067,permissioned,full planning permission,17200001,https://lbhf.maps.arcgis.com/apps/webappviewer/index.html?id=931fa3b3294b4147a518648579b12d4a,2017-12-31
Homebase - 195 Warwick Road,yes,,2017-12-31,,1.133412,375,330,,local-authority-eng:KEC,not owned by a public authority,2012-03-20,https://www.rbkc.gov.uk/PP/17/01973,permissioned,full planning permission,17200004,https://lbhf.maps.arcgis.com/apps/webappviewer/index.html?id=931fa3b3294b4147a518648579b12d4a,2017-12-31
196 to 222 King's Road,yes,,2017-12-31,,0.534749,39,39,,local-authority-eng:KEC,not owned by a public authority,2016-02-04,https://www.rbkc.gov.uk/PP/15/04338,permissioned,full planning permission,17200005,https://lbhf.maps.arcgis.com/apps/webappviewer/index.html?id=931fa3b3294b4147a518648579b12d4a,2017-12-31
Telephone Exchange 213-215 Warwick Road,yes,,2017-12-31,,0.560775,163,163,,local-authority-eng:KEC,not owned by a public authority,2013-10-25,https://www.rbkc.gov.uk/PP/08/01214,permissioned,full planning permission,17200007,https://lbhf.maps.arcgis.com/apps/webappviewer/index.html?id=931fa3b3294b4147a518648579b12d4a,2017-12-31
