site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Land r/0 1-87 Weston Road, Aston Clinton",yes,,2017-12-19,,5.5,165,165,,local-authority-eng:AYL,not owned by a public authority,,,not permissioned,,AST033,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
Circus Fields,yes,,2017-12-19,,1.77,74,74,,local-authority-eng:AYL,not owned by a public authority,2003-09-10,,permissioned,full planning permission,AYL016,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
"Elmhurst community centre, 36 Fairfax Crescent",yes,,2017-12-19,,0.15,6,6,,local-authority-eng:AYL,not owned by a public authority,2016-06-15,,permissioned,full planning permission,AYL025,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
Griffin Lane,yes,,2017-12-19,,4.43,98,98,,local-authority-eng:AYL,not owned by a public authority,2013-08-20,,permissioned,full planning permission,AYL028,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
Civic Quarter,yes,,2017-12-19,,0.78,47,47,,local-authority-eng:AYL,not owned by a public authority,2015-02-06,,permissioned,full planning permission,AYL029,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
Ardenham Lane,yes,,2017-12-19,,0.04,9,9,,local-authority-eng:AYL,not owned by a public authority,,,not permissioned,,AYL032,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
"PO Sorting Office, Cambridge Street",yes,,2017-12-19,,0.92,23,23,,local-authority-eng:AYL,not owned by a public authority,,,not permissioned,,AYL052,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
Land At Junction Of Buckingham Street And New Street,yes,,2017-12-19,,0.49,14,14,,local-authority-eng:AYL,not owned by a public authority,,,not permissioned,,AYL059,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
"Land North of Manor Hospital, Bierton Road",yes,,2017-12-19,,1.11,44,44,,local-authority-eng:AYL,not owned by a public authority,2016-04-01,,permissioned,full planning permission,AYL068,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
"Land east of Gatehouse Road, Gatehouse Quarter",yes,,2017-12-19,,4.07,25,25,,local-authority-eng:AYL,not owned by a public authority,,,not permissioned,,AYL076,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
"Gatehouse Quarter, Gatehouse Road",yes,,2017-12-19,,4.34,370,370,,local-authority-eng:AYL,not owned by a public authority,2006-12-22,,permissioned,full planning permission,AYL082,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
"Kingsbury House, 2 George Street, Aylesbury",yes,,2017-12-19,,0.01,6,6,,local-authority-eng:AYL,not owned by a public authority,2013-04-04,,permissioned,full planning permission,AYL108,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
"Kingfisher House, 61 Walton Street, Aylesbury",yes,,2017-12-19,,0.42,48,48,,local-authority-eng:AYL,not owned by a public authority,2015-04-01,,permissioned,full planning permission,AYL110,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
"Wing House, 5 Britannia Street, Aylesbury",yes,,2017-12-19,,0.03,18,18,,local-authority-eng:AYL,not owned by a public authority,2015-04-16,,permissioned,full planning permission,AYL111,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
"Rabans Lane, Aylesbury",yes,,2017-12-19,,6.6,200,200,,local-authority-eng:AYL,not owned by a public authority,,,not permissioned,,AYL115,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
"Western House, 14 Rickfords Hill",yes,,2017-12-19,,0.04,15,15,,local-authority-eng:AYL,not owned by a public authority,2016-02-29,,permissioned,full planning permission,AYL116,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
37 Bicester Road,yes,,2017-12-19,,0.05,8,8,,local-authority-eng:AYL,not owned by a public authority,2016-09-07,,permissioned,full planning permission,AYL123,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
Police Station and Land adjacent 38 Moreton Road,yes,,2017-12-19,,0.21,13,13,,local-authority-eng:AYL,not owned by a public authority,2015-05-11,,permissioned,full planning permission,BUC005,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
"Land to south of the A421 and east of A413, London Road",yes,,2017-12-19,,5.1,117,117,,local-authority-eng:AYL,not owned by a public authority,2009-10-28,,permissioned,full planning permission,BUC060,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
"Bridge Street, Buckingham",yes,,2017-12-19,,0.59,103,103,,local-authority-eng:AYL,not owned by a public authority,1998-10-01,,permissioned,full planning permission,BUC061,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
Land between Bridge Street and Well Street (Neighbourhood Plan Site 'K'),yes,,2017-12-19,,0.22,28,28,,local-authority-eng:AYL,not owned by a public authority,,,not permissioned,,BUC064,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
"The Lindens Care Home, Stoke House, Fenny Road",yes,,2017-12-19,,0.91,12,12,,local-authority-eng:AYL,not owned by a public authority,2014-08-18,,permissioned,full planning permission,SHM015,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
"Bucks Sport and Social Club, Lower Road",yes,,2017-12-19,,3.73,100,100,,local-authority-eng:AYL,not owned by a public authority,,,not permissioned,,SMD011,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
"Mount Pleasant, Tamarisk Way",yes,,2017-12-19,,1.03,27,27,,local-authority-eng:AYL,not owned by a public authority,2014-02-10,,permissioned,full planning permission,WTV024,https://www.aylesburyvaledc.gov.uk/housing-economic-land-availability-assessment-helaa,2017-12-19
