site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Former Leisure Centre, Park Road, Coleshill",yes,,2020-02-15,,0.32,23,23,Demolition of existing leisure centre and construction of twenty three new dwellings and ancillary site works,local-authority-eng:NWA,owned by a public authority,2019-02-13,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,permissioned,full planning permission,BFR001,,2018-12-10
"Former Polesworth Learning Centre, High Street, Polesworth",yes,,2020-02-15,,0.62,12,12,"Conversion of The Old School Building to 3 no. dwellinghouses, demolition of modern flat roofed buildings, construction of 9 no. dwellinghouses and formation of new vehicular access",local-authority-eng:NWA,not owned by a public authority,2018-12-19,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,permissioned,full planning permission,BFR002,,2018-12-10
"Land at Spon Lane, Grendon (former Sparrowdale School and Former Recycling Centre)",yes,,2020-02-15,,2.1,56,56,"Construction of 56 residential dwellings (class C3) including; construction of new vehicular access to Spon Lane, formalisation of existing vehicular access to Spon Lane, pedestrian accesses to Spon Lane and A5 (Watling Street), drainage infrastructure, landscaping, public open space and other works",local-authority-eng:NWA,owned by a public authority,2019-05-17,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,permissioned,full planning permission,BFR003,,2018-12-10
"Water Orton Primary School, Attleborough Lane, Water Orton",yes,,2020-02-15,,2.8,48,48,"The land is allocated for residential development within the Submission Local Plan, reference H21",local-authority-eng:NWA,owned by a public authority,,,not permissioned,,BFR004,,2018-12-10
"Land at Village Farm, Birmingham Road, Ansley",yes,,2020-02-15,,0.6,7,7,"Outline application (all matters reserved) for the demolition of all modern farm buildings, conversion of traditional building into 2 dwellings, and erection of 5 new dwellings, garage block, parking areas and other associated works",local-authority-eng:NWA,not owned by a public authority,,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,not permissioned,,BFR005,,2018-12-10
"Ansley Social Club, Birmingham Road, Ansley",yes,,2020-02-15,,0.31,10,10,"Outline application (all matters reserved) for the demolition of former social club and residential dwelling and the erection of up to 10 dwellings, along with associated open space and drainage infrastructure",local-authority-eng:NWA,not owned by a public authority,2017-10-04,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,permissioned,outline planning permission,BFR007,,2018-12-10
"Britannia Mill, Coleshill Road, Atherstone",yes,,2020-02-15,,0.42,70,70,Erection of 70 apartments (use class C3) with extra care provision. Listed Building,local-authority-eng:NWA,not owned by a public authority,2019-11-07,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,permissioned,full planning permission,BFR008,,2018-12-10
"Durnos Nurseries, Old Holly Lane, Atherstone",yes,,2020-02-15,,3.65,121,121,Demolition of Virginia House and nursery buildings and erection of 121 dwellings with public open space and associated infrastructure,local-authority-eng:NWA,not owned by a public authority,,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,permissioned,full planning permission,BFR009,,2018-12-10
"Phoenix Yard, Church Street, Atherstone",yes,,2020-02-15,,0.6,73,73,"Planning Permission and Conservation Area Consent to demolish unlisted buildings within the Atherstone Conservation Area, and to redevelop the site so as to provide 73 residential units through conversion and new build, together with associated access and parking provision",local-authority-eng:NWA,not owned by a public authority,2007-10-16,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,permissioned,full planning permission,BFR010,,2018-12-10
"Chapel End Social Club, Coleshill Road, Hartshill",yes,,2020-02-15,,0.23,13,13,Demolition of existing social club & erection of 13 dwellings,local-authority-eng:NWA,not owned by a public authority,2015-06-16,http://planning.northwarks.gov.uk/portal/servlets/ApplicationSearchServlet,permissioned,full planning permission,BFR012,,2018-12-10
