site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"The Tally Ho Inn, 45 Ploughley Road, Arncott",yes,,2017-12-04,,0.4,17,17,,local-authority-eng:CHR,not owned by a public authority,2017-09-19,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,outline planning permission,BLR1,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
1 To 4A Church Lane And 12 To 14 Parsons Street Banbury,yes,,2017-12-04,,0.12,8,8,,local-authority-eng:CHR,not owned by a public authority,2016-11-17,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR2,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"15 - 16 South Bar Street, Banbury",yes,,2017-12-04,,0.02,5,5,,local-authority-eng:CHR,not owned by a public authority,2014-11-04,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR3,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"27 Park Road, Banbury",yes,,2017-12-04,,0.07,6,6,,local-authority-eng:CHR,not owned by a public authority,2015-12-04,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR4,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"3 West Bar Street, Banbury",yes,,2017-12-04,,0.14,12,12,,local-authority-eng:CHR,not owned by a public authority,2016-12-02,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR5,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"60 - 62 Broad Street, Banbury",yes,,2017-12-04,,0.06,8,8,,local-authority-eng:CHR,not owned by a public authority,2014-10-01,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR6,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Admiral Holland, Woodgreen Avenue, Banbury",yes,,2017-12-04,,0.4,16,16,This is a council owned site. Planning permission for the demolition of the public house has already been granted.,local-authority-eng:CHR,owned by a public authority,,,Not permissioned,,BLR7,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Ambulance Station, Cope Road, Banbury",yes,,2017-12-04,,0.15,6,6,,local-authority-eng:CHR,owned by a public authority,2015-03-20,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR8,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Canalside, Banbury",,,2017-12-04,,26,700,700,2017 HELAA site - HELAA258. A Canalside Supplementary Planning Documents is being prepared.,local-authority-eng:CHR,mixed ownership,,,Not permissioned,,BLR9,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Car Park Edmunds House, 40 South Bar Street, Banbury",yes,,2017-12-04,,0.08,5,5,,local-authority-eng:CHR,not owned by a public authority,2014-07-03,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR10,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Land at Bolton Road, Banbury",,,2017-12-04,,2,200,200,2017 HELAA site - HELAA257. A Bolton Road Supplementary Planning Document is programmed in the Local Development Scheme.,local-authority-eng:CHR,,,,Not permissioned,,BLR11,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Land at Higham Way, Banbury",yes,,2017-12-04,,3,150,150,2017 HELAA site - HELAA254.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,BLR12,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Mercia House, 51 South Bar Street, Banbury",yes,,2017-12-04,,0.14,10,10,,local-authority-eng:CHR,not owned by a public authority,2017-02-17,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR13,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Morrison Property Consultants, 24 Horse Fair, Banbury",yes,,2017-12-04,,0.1,8,8,,local-authority-eng:CHR,not owned by a public authority,2017-03-31,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR14,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"P R Alcock And Sons Ltd, Castle Street, Banbury",yes,,2017-12-04,,0.16,5,5,,local-authority-eng:CHR,not owned by a public authority,2015-11-26,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR15,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Poundland, 1 - 6 Malthouse Walk, Banbury",yes,,2017-12-04,,0.07,20,20,,local-authority-eng:CHR,not owned by a public authority,2015-11-02,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR16,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"The Imperial Oriental, 13 - 14 South Bar Street, Banbury",yes,,2017-12-04,,0.03,7,7,,local-authority-eng:CHR,not owned by a public authority,2015-03-02,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR17,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"The Unicorn, Market Place, Banbury",yes,,2017-12-04,,0.04,7,7,,local-authority-eng:CHR,not owned by a public authority,2017-01-24,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR18,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Bessemer Close/Launton Road, Bicester",yes,,2017-12-04,,1.18,70,70,,local-authority-eng:CHR,not owned by a public authority,2017-08-25,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,outline planning permission,BLR19,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Former Bicester Library, Old Place Yard, Bicester",yes,,2017-12-04,,0.04,6,6,The site was previously used as a library however is now vacant. Part of land identified for residential development in the Non-Statutory Cherwell Local Plan 2011.,local-authority-eng:CHR,owned by a public authority,,,Not permissioned,,BLR20,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"Garage Block Rear Of 52 To 58 Bucknell Road, Bicester",yes,,2017-12-04,,0.1,6,6,,local-authority-eng:CHR,not owned by a public authority,2016-09-19,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR21,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"McKay Trading Estate, Station Approach, Bicester",yes,,2017-12-04,,1.2,60,60,The site is currently being used for employment purposes and is located at an industrial estate. Planning permission given for redevelopment to include new offices.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,BLR22,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"St Edburg's School, Cemetery Road, Bicester",yes,,2017-12-04,,0.37,10,10,Development principles approved in October 2008 for re-use of school buildings.,local-authority-eng:CHR,not owned by a public authority,,,Not permissioned,,BLR23,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"B Line Business Centre, Station Road, Enslow",yes,,2017-12-04,,0.61,14,14,,local-authority-eng:CHR,not owned by a public authority,2016-11-21,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR24,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
"The George And Dragon, 15 East Street, Fritwell",,,2017-12-04,,0.22,7,7,A new planning application is expected for 7 dwellings on only the George and Dragon site.,local-authority-eng:CHR,not owned by a public authority,2016-05-25,https://www.publicaccess.cherwell.gov.uk/online-applications/,permissioned,full planning permission,BLR25,https://www.cherwell.gov.uk/info/33/planning-policy/384/brownfield-land-register,2017-12-04
