point,OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,http://opendatacommunities.org/id/district-council/epsom-and-ewell,,194,"Etwell House and former coach, Station Approach",-5.678868,54.542087,,0.19,not owned by a public authority,,not permissioned,,,,,10,10,,,2017-11-09,2020-12-18,
,http://opendatacommunities.org/id/district-council/epsom-and-ewell,,535,"Former Police and Ambulance Station, Church Street",-5.700749,54.529224,,0.37,not owned by a public authority,,pending decision,,,,,33,33,yes,"Submitted application, pending decision for 60 extra care apartments (the 33 units yield is derived from the Housing Delivery Test Measurement Rule Book). Site forms part of the Emergency Services Site allocation in the Area Action Plan – Plan E",2019-11-12,2020-12-18,
,http://opendatacommunities.org/id/district-council/epsom-and-ewell,,565,"The Wells Centre, Spa Drive",-5.707766,54.510789,,0.32,owned by a public authority,,pending decision,,,,,23,23,yes,"Submitted application, pending decision for 23 units.",2019-12-04,2020-12-18,
,http://opendatacommunities.org/id/district-council/epsom-and-ewell,,893,"57 Salisbury Road, Worcester Park",-5.633128,54.531439,,0.27,not owned by a public authority,,pending decision,full planning permission,2020-07-17,http://eplanning.epsom-ewell.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,15,15,yes,"Submitted application, pending decision for 17 units. Site already has approval for 15 units.",2019-11-06,2020-12-18,
,http://opendatacommunities.org/id/district-council/epsom-and-ewell,,20,"Epsom Baptist Church, Church Street",-5.698562,54.528644,,0.23,not owned by a public authority,,not permissioned,,,,,41,41,,Owner has confirmed site availability.,2017-11-28,2020-11-25,
,http://opendatacommunities.org/id/district-council/epsom-and-ewell,,601,"Spread Eagle Shopping Centre, High Street",-5.698702,54.526256,,0.18,not owned by a public authority,,not permissioned,,,,,35,35,,Owner has confirmed site availability.,2018-12-04,2020-11-25,
,http://opendatacommunities.org/id/district-council/epsom-and-ewell,,1369,"Gas Holder Station, East Street, Epsom",-5.69326,54.528491,,2.17,mixed ownership,,not permissioned,,,,,250,250,,"Site forms part of the wider Utilities Site allocation under policy E15 in Plan E, the Area Action Plan for Epsom Town Centre.",2020-11-25,2020-11-25,
,http://opendatacommunities.org/id/district-council/epsom-and-ewell,,244,"Development site at 65 London Road, Ewell",-5.662404,54.540114,,0.32,not owned by a public authority,,pending decision,,,,,40,40,,"Submitted application, pending decision for 45 units.",2020-11-25,2020-11-25,
,http://opendatacommunities.org/id/district-council/epsom-and-ewell,,1317,"Maplins, 42 High Street, Epsom",-5.697314,54.526982,,0.3,not owned by a public authority,,permissioned,full planning permission,2020-10-30,http://eplanning.epsom-ewell.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,9,9,yes,Site developed,2019-12-11,2020-11-25,26/05/2020
,http://opendatacommunities.org/id/district-council/epsom-and-ewell,,329,"King's Arms Public House, East Street",-5.690468,54.531985,,0.14,not owned by a public authority,,permissioned,full planning permission,2019-04-30,http://eplanning.epsom-ewell.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,21,21,yes,Site developed,2017-11-13,2019-12-10,10/12/2019
,http://opendatacommunities.org/id/district-council/epsom-and-ewell,,600,"Lower Mill, Kingston Road",-5.661605,54.535507,,0.55,not owned by a public authority,,permissioned,full planning permission,2019-07-17,http://eplanning.epsom-ewell.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,29,29,yes,Site developed,2018-12-04,2019-12-10,17/09/2019
,http://opendatacommunities.org/id/district-council/epsom-and-ewell,,602,"Haddad House, 91 East Street",-5.690375,54.531637,,0.05,not owned by a public authority,,permissioned,full planning permission,2015-05-26,http://eplanning.epsom-ewell.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,5,5,yes,Site developed,2018-12-04,2019-12-10,29/01/2019
,http://opendatacommunities.org/id/district-council/epsom-and-ewell,,21,"Rail Land, Mill Road",-5.693931,54.532661,,0.46,not owned by a public authority,,,full planning permission,2019-04-23,http://eplanning.epsom-ewell.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,31,31,yes,Owner has not confirmed site is available,2017-11-08,2019-12-10,10/12/2019
,http://opendatacommunities.org/id/district-council/epsom-and-ewell,,148,"United Reformed Church, Church Street",-5.700081,54.529712,,0.14,not owned by a public authority,,,,,,,10,10,,Owner has not confirmed site is available,2017-11-15,2019-12-10,10/12/2019
,http://opendatacommunities.org/id/district-council/epsom-and-ewell,,603,"Aviary Court, 138 Miles Road",-5.688133,54.526849,,0.07,not owned by a public authority,,,full planning permission,2018-04-25,http://eplanning.epsom-ewell.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,8,8,,Owner has not confirmed site is available,2018-12-04,2019-12-10,10/12/2019
