site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Glendaragh, Barn Park Road, Teignmouth TQ14 8PN",yes,,2017-12-13,,0.26,15,15,Part of this site was started in 2002. Change of use and conversion of Nursing Home to form 15 new and two existing sheltered apartments with nursing care facilities,local-authority-eng:TEI,not owned by a public authority,2001-10-26,,permissioned,full planning permission,POINT(-3.493556 50.549666),BFR001,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=01%2f03478%2fCOU,2017-11-01
"Rosemary Avenue, Newton Abbot TQ12 1SB",yes,,2017-12-13,,0.12,6,6,Groundworks commenced keeping this live. six dwellings (three pairs of semi-detached),local-authority-eng:TEI,not owned by a public authority,2006-03-22,,permissioned,full planning permission,POINT(-3.62634 50.534055),BFR002,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=05%2f04278%2fFUL,2017-11-01
"Platway House, Torquay Road, Shaldon TQ14 0AU",yes,,2017-12-13,,0.47,9,9,Original dwelling demolished. Approval of details for demolition of existing house and outbuildings and the erection of 10 dwellings,local-authority-eng:TEI,not owned by a public authority,2008-07-01,,permissioned,full planning permission,POINT(-3.512244 50.539478),BFR003,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=16%2f03261%2fMAJ,2017-11-01
"Shapters Yard, Strand Hill, Dawlish EX7 9PS",yes,,2017-12-13,,0.04,9,9,started. 9 flats,local-authority-eng:TEI,not owned by a public authority,2012-07-31,,permissioned,full planning permission,POINT(-3.466864 50.581501),BFR004,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=12%2f01811%2fFUL,2017-11-01
"Former Wolborough Hospital, Old Totnes Road, Newton Abbot TQ12 6AA",yes,,2017-12-13,,1.14,79,13,started. Demolition of existing buildings and construction of 13 dwellings,local-authority-eng:TEI,not owned by a public authority,2013-01-21,,permissioned,full planning permission,POINT(-3.620994 50.520522),BFR005,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f01497%2fMAJ,2017-11-01
"Holcombe Hall, Holcombe Drive, Dawlish EX7 0JW",yes,,2017-12-13,,0.73,7,7,started - 2 completed. Conversion to 3 units & 4 new dwellings,local-authority-eng:TEI,not owned by a public authority,2014-10-10,,permissioned,full planning permission,POINT(-3.474195 50.563403),BFR006,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f02517%2fFUL,2017-11-01
"14 Barton Villas, Dawlish EX7 9QJ",yes,,2017-12-13,,0.04,5,5,started. Conversion and extension of three flats to form eight flats,local-authority-eng:TEI,not owned by a public authority,2014-10-10,,permissioned,full planning permission,POINT(-3.476659 50.579893),BFR007,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=13%2f03658%2fFUL,2017-11-01
"22 - 26 Wolborough Street, Newton Abbot TQ12 1JJ",yes,,2017-12-13,,0.18,27,27,started. 27 flats above retail area,local-authority-eng:TEI,not owned by a public authority,2014-10-10,,permissioned,full planning permission,POINT(-3.613397 50.529387),BFR008,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f01015%2fMAJ,2017-11-01
"Clay Lane, Teignmouth TQ14 8FW",yes,,2017-12-13,,0.08,21,21,2 phase scheme part 1 completed in 2009. Erection of 20 apartments,local-authority-eng:TEI,not owned by a public authority,2014-10-09,,permissioned,full planning permission,POINT(-3.501281 50.547112),BFR009,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f01918%2fMAJ,2017-11-01
"land at Ilford Park, Stover, Newton Abbot TQ12 6PW",yes,,2017-12-13,,26.45,23,23,Outline application for mixed use development including residential (and demolition of existing res),local-authority-eng:TEI,not owned by a public authority,2016-06-01,,permissioned,full planning permission,POINT(-3.656862 50.560596),BFR010,https://www.teignbridge.gov.uk/planning/forms/planning-application-details/?Type=Application&Refval=14%2f02580%2fMAJ,2017-11-01
