site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Whitelodge, New Penkridge Road, Cannock",yes,,2019-11-01,,0.23,15,15,"CH/16/410 is full planning permission for the conversion of the existing building to form 13 apartments, granted February 2017 and under construction. CH/17/195 is full planning permission for the erection of 2no. dwellings, granted October 2017. 15 dwellings on site total. Developer advises site to be completed in 2019/20. CH/18/214 is planning application for additional 2 units on the first floor of conversion, not yet determined (site capacity may increase to 17 dwellings). 4 completions to date",local-authority-eng:CAN,not owned by a public authority,2017-10-03,,permissioned,full planning permission,POINT(-2.045498 52.692778),C90(b),http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01
"Blackford's Former Working Men's Club, Cannock Road, Cannock",yes,,2019-11-01,,0.4,26,26,"Buildings have been demolished. CH/15/0497 is full planning permission for 26 apartments, granted March 2017. Site owned by developer who intends to build out site. Under construction.",local-authority-eng:CAN,not owned by a public authority,2017-03-21,,permissioned,full planning permission,POINT(-2.020569 52.696686),C269,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01
"26-28 Wolverhampton Road, Cannock",,,2019-11-01,,0.12,21,21,"CH/15/0078 is full planning permission for 21no. 1 bed flats, granted May 2015. CH/18/167 was revised outline planning application for 25 apartments, now withdrawn. Landowner intends to develop- potentially as landlord to future rental properties.",local-authority-eng:CAN,not owned by a public authority,,,not permissioned,,POINT(-2.032163 52.687586),C152,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01
"Langbourn, Hillcroft and Ivy House, Longford Road, Cannock",yes,,2019-11-01,,0.4,14,14,"CH/16/364 is full planning permission for the conversion of offices to 14 apartments, granted November 2016. Landowner is intended developer of site. Developer advises that the site will be completed 2019/2020 (currently undertaking finishing external works).",local-authority-eng:CAN,not owned by a public authority,2016-11-22,,permissioned,full planning permission,POINT(-2.038004 52.683836),C272 (Part 2),http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01
"Land at junction of Cannock Road and Burgoyne Street, Cannock",yes,,2019-11-01,,0.3,14,14,"CH/14/0097 is full planning permission for 14 dwellings, granted October 2016. 11 completions to date.",local-authority-eng:CAN,not owned by a public authority,2016-10-19,,permissioned,full planning permission,POINT(-2.011116 52.705479),C327,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01
"Land off Lakeside Boulevard, Bridgtown, Cannock",yes,,2019-11-01,,3.7,111,111,"CH/13/0323 is outline planning permission for residential development: Erection of 111 dwellings, public house/restaurant and provision of public open space (outline all matters reserved), granted March 2016. CH/16/124 is reserved matters approval, granted June 2016. Incorporates 50% affordable housing provision (to be developed by Walsall Housing Group). The site included within the register excludes the area which has been reserved for commercial development under the original outline planning permission. Net developable area 3.1ha. 96 completions to date.",local-authority-eng:CAN,not owned by a public authority,2016-06-29,,permissioned,full planning permission,POINT(-2.032192 52.645748),C335,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01
"Former Ultra Electronics Site, Main Road/Armitage Road, Brereton",yes,,2019-11-01,,3.05,103,103,"Outline planning permission CH/14/0293 granted for up to 120 dwellings (May 2015). CH/15/0492 is reserved matters approval for 103 dwellings, granted July 2016. 66 completions to date.",local-authority-eng:CAN,not owned by a public authority,2016-07-05,,permissioned,full planning permission,POINT(-1.924726 52.750404),R19,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01
"Land off Coulthwaite Way, Coulthwaite Way, Brereton",yes,,2019-11-01,,0.4,24,24,"CH/12/0433 is full planning permission for change of use from care home to 20. no flats and erection of first storey extension and erection of entrance lobby, granted March 2013. Revised application for 22 flats (CH/13/0433) granted April 2014. CH/16/444 is full planning permission for an extension to form 2 additional dwellings, granted April 2017. 22 completions to date.",local-authority-eng:CAN,not owned by a public authority,2017-04-19,,permissioned,full planning permission,POINT(-1.929393 52.750641),R97,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01
"Land at 61 & 65 Wimblebury Road, Heath Hayes, Cannock",yes,,2019-11-01,,0.19,6,6,"CH/17/070 is outline planning permission for the erection of 10 dwellings. The full extent of this site including greenfield land is 0.31ha with a capacity of 10 dwellings. The register reflects the size and indicative capacity of the brownfield element of the site only. For full details on the site please see the SHLAA. CH/18/042 is full planning permission for the erection of 9no. dwellings, granted March 2018. No change in brownfield capacity. Development has commenced.",local-authority-eng:CAN,not owned by a public authority,2018-03-27,,permissioned,full planning permission,POINT(-1.978358 52.688928),C420,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01
"Pear Tree Primary School, Hardie Avenue, Rugeley",,,2019-11-01,,0.55,16,16,"CH/15/0084 is outline planning permission for the erection of 72 dwellings (joint application with site R20), granted May 2015- now expired. The full extent of this site including greenfield land is 1.4ha with a capacity of 40 dwellings. The register reflects the size and indicative capacity of the brownfield element of the site only. For full details on the site please see the SHLAA. Joint venture between Cannock Chase Council and Staffs County Council. Liaising with potential developers on scheme which will require new planning application.",local-authority-eng:CAN,owned by a public authority,,,not permissioned,,POINT(-1.93807 52.753522),R16,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01
"Land at end of Wharf Road, Rugeley",,,2019-11-01,,1.06,32,32,"CH/15/0084 is outline planning permission for the erection of 72 dwellings (joint application with site R16), granted May 2015. Joint ventures between Cannock Chase Council and Staffs County Council. Liaising with potential developers on scheme which will require new planning application.",local-authority-eng:CAN,owned by a public authority,2015-05-29,,permissioned,outline planning permission,POINT(-1.935196 52.753566),R20,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01
"Blocks C-D Beecroft Court, Beecroft Road, Cannock",yes,,2019-11-01,,0.19,22,22,"CH/17/113 is prior approval for the change of use from offices to 60 apartments. Two blocks of 40 flats have been completed (Site C422(a)). Site C422(b) is for the outstanding 20 units. Developer is site owner and advises that 12 units to be completed in short term. 10 units still occupied by office tenants but to be developed once vacated (Part 2 in 6-15 year supply). CH/18/359 is prior pproval applications for the proposed change of use of lower ground floor of Block D from (B1 Office) into 2no. apartments, not yet determined",local-authority-eng:CAN,not owned by a public authority,2017-05-21,,permissioned,full planning permission,POINT(-2.027033 52.692972),C422 (b),http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01
"Land adjacent to 67 McGhie Street, Hednesford (formerly adjacent to no. 73)",yes,,2019-11-01,,0.24,6,6,"CH/17/004 is full planning permission for the erection of 6 bungalows, granted March 2017. 5 completions to date.",local-authority-eng:CAN,not owned by a public authority,2017-03-29,,permissioned,full planning permission,POINT(-2.003836 52.712258),C31,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01
