site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Otford Builders Merchants, High Street, Otford",yes,,2019-12-18,,0.46,7,7,Emerging Local Plan Ref ST2-41 - Careful design and layout to conserve the character of the AONB. Redevelopment of the modern office and industrial building will provide an opportunity for enhancement and improve the setting of the conservation area. The review of the existing use is to be considered as part of any planning application. Retain existing trees and hedges.,local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.18563 51.313572),BFR08,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR08
"Sevenoaks Community Centre, Otford Road, Sevenoaks",yes,,2019-12-18,,0.89,75,75,Emerging Local Plan Ref ST2-7 - Replacement facilities to serve the local community to be provided as part of any redevelopment scheme. Mitigate impact of noise from railway line. An assessment of the impact of the development on the source protection zone is to be submitted as part of any planning application. Retain existing trees and hedges.,local-authority-eng:SEV,owned by a public authority,,,not permissioned,,POINT(0.19342 51.290176),BFR12,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR12
"5 Crownfields, Sevenoaks",yes,,2019-12-18,,0.3,20,20,Emerging Local Plan Ref ST2-2 - Careful design and layout to minimise impact on the amenity of neighbouring properties. Retain existing trees and hedges. A landfill assessment is to be submitted as part of any planning application.,local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.189179 51.269384),BFR13,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR13
"Sevenoaks Town Council Offices, Bradbourne Vale Road, Sevenoaks",,,2019-12-18,,0.32,32,32,Emerging Local Plan Ref ST2-10 - Careful design and layout to minimise impact on the amenity of neighbouring properties. The review of the existing use is to be considered as part of any planning application. An air quality assessment is to be submitted as part of any planning application. An assessment of the impact of the development on the source protection zone is to be submitted as part of any planning application. Retain existing trees and hedges.,local-authority-eng:SEV,owned by a public authority,,,not permissioned,,POINT(0.188964 51.286641),BFR14,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR14
"Sevenoaks Adult Education Centre, Bradbourne Road, Sevenoaks",,,2019-12-18,,0.6,30,30,Emerging Local Plan Ref ST2-11 - Careful design and layout to minimise impact on the amenity of neighbouring properties and the locally listed building. An assessment of the impact of the development on the source protection zone is to be submitted as part of any planning application. Retain existing trees and hedges.,local-authority-eng:SEV,owned by a public authority,,,not permissioned,,POINT(0.190318 51.282989),BFR15,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR15
"The Woodlands, Hilda May Avenue, Swanley",yes,2019-08-29,2020-12-15,,0.44,66,66,Emerging Local Plan Ref ST2-19 - Retain existing trees and hedges. Permissioned for care home,local-authority-eng:SEV,owned by a public authority,,,not permissioned,,POINT(0.170888 51.399895),BFR16,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR16
"Chauchers of Sevenoaks, London Road, Dunton Green",,,2019-12-18,,0.23,11,11,Emerging Local Plan Refg ST2-15 Careful design and layout to conserve the character of the AONB. A contamination assessment is to be submitted as part of any planning application. The review of the existing use is to be considered as part of any planning application.,local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.160089 51.300589),BFR19,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR19
"Fawkham Business Park, Fawkham Road, Fawkham",yes,,2019-12-18,,0.78,31,31,Emerging Local Plan Ref ST2-52 - The review of the existing use is to be considered as part of any planning application. An assessment of the impact of the development on the source protection zone is to be submitted as part of any planning application.,local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.294317 51.396915),BFR20,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR20
"Chelsfield Depot, Shacklands Road, Badgers Mount",,,2019-12-18,,3.35,100,100,"Emerging Local Plan Ref ST2-43 - Respect and respond sensitively to the existing features within the site that are positive and that make the site unique. The site is especially unique because of its natural landscape buffer that surrounds the site on all sides. Buffer required to protect the ancient woodland. Proposals could explore integrating a use within the site that benefits from the natural landscape buffer the site affords, such as a community activity centre or forest school. Establish a network of connected streets which prioritise walking and cycling over private car use for short trips within the development. Create safe, attractive and clear cycling and pedestrian routes which minimise distances between the site and local shops, services and Knockholt station. Proposals should especially consider improvements to the roundabout to the southwest of the site that accommodates footpaths and crossings for pedestrians and cyclists. Any opportunity to deliver a new pedestrian connection through to Highland Road or Charles Road to overcome the isolation of this site would be welcome. Use the natural features of the site to inform development and integrate it into its wider setting. The topography, geology, trees and ancient woodland can be used to reinforce local distinctiveness.",local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.150226 51.335335),BFR23,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR23
"Upper Hockenden Farm, Hockenden Lane, Swanley",yes,,2019-12-18,,2.36,25,25,Emerging Local Plan Ref ST2-23 - Retain existing employment floorspace as part of any scheme. A contamination assessment is to be submitted as part of any planning application. An air quality assessment is to be submitted as part of any planning application.,local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.155817 51.405454),BFR31,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR31
"Harringtons Nursery, Highlands Hill, Swanley",yes,,2020-12-15,,2.2,60,60,SE/20/00624,local-authority-eng:SEV,not owned by a public authority,2020-12-11,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.18708 51.403705),BFR32,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR32
"Deer Leap Stud Farm, Knockholt Road, Halstead",yes,,2019-12-18,,0.39,13,13,Emerging Local Plan Ref ST2-55 - Careful design and layout to minimise impact on the amenity of neighbouring properties.,local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.129986 51.32627),BFR56,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR56
"Egerton Nursery, Egerton Avenue, Hextable",yes,,2019-12-18,,0.52,30,30,Emerging Local Plan Ref ST2-59 - Careful design and layout to minimise impact on the openness of the Green Belt in this important strategic gap. Access to be improved,local-authority-eng:SEV,not owned by a public authority,,,not permissioned,,POINT(0.181036 51.407338),BFR63,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR63
"Oasis Academy, Egerton Avenue, Hextable",,,2019-12-18,,3.18,190,190,"Emerging Local Plan Ref ST2-60 - Respect and respond sensitively to the existing features within the site that are positive and that make the site unique. The Howard Venue is a valued asset well used by the local community and should be retained on the site. The strong orthogonal character of the existing site should inform the development of future development structure through a simple gridded block structure. The historic avenue of trees along the western boundary of the site provides an opportunity to create well defined built frontage facing onto landscape rather than the backs of buildings. Be fully integrated into the existing urban fabric by responding to the village character of Hextable in terms of scale, materials and layout. Use the existing perimeter block street pattern to the east of the site on Egerton Avenue and New Road to inform the layout of housing on site. Establish a network of connected streets which prioritise walking and cycling over private car use for short trips within the development. The structure of the site should naturally extend the existing grain of streets. The development of the site provides a good opportunity to introduce a new pedestrian link from the elbow of Egerton Avenue towards the south and west to connect into the top of Swanley Park. Create safe, attractive and clear cycling and pedestrian routes which minimise distances between the site and local shops, services and public transport interchanges. Ensure a hierarchy of routes so that important routes are clearly identifiable. Use the natural features of the site to inform development and integrate it into its wider setting. The topography, geology and trees can be used to reinforce local distinctiveness. In particular, the existing avenue of trees along the western edge of the site should help to provide a strong characteristic for the site.",local-authority-eng:SEV,owned by a public authority,,,not permissioned,,POINT(0.155817 51.405454),BFR64,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR64
"Former Birchwood Primary School, Russett Way, Swanley",yes,,2019-12-18,,0.66,39,39,Emerging Local Plan Ref ST2-22 - Retain existing trees and hedges,local-authority-eng:SEV,owned by a public authority,,,not permissioned,,POINT(0.166434 51.405334),BFR71,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR71
"Stacklands Retreat House, School Lane",yes,2019-06-05,2020-12-15,,2.7,6,6,SE/17/00410 - Completed,local-authority-eng:SEV,not owned by a public authority,2018-01-18,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.258707 51.334069),BFR76,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR76
148-152 St Johns Hill,yes,2019-03-31,2020-12-15,,0.04,6,6,SE/17/02796 - Completed,local-authority-eng:SEV,not owned by a public authority,2017-12-08,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,reserved matters approval,POINT(0.194545 51.287912),BFR79,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR79
139 London Road TN13 1BH,yes,2019-10-22,2020-12-15,,0.04,8,8,SE/14/02652 - Completed,local-authority-eng:SEV,not owned by a public authority,2015-01-27,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.187164 51.274775),BFR80,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR80
Paxform Properties (1st & 2nd Floors) 11-13 High Street BR8 8AE,yes,2020-04-03,2020-12-15,,0.05,15,15,SE/19/01496 - Under Construction,local-authority-eng:SEV,not owned by a public authority,2017-12-14,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.177713 51.395465),BFR82,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR82
"First Floor, 33 Swanley Centre (above Wilko and adjacent shops) BR8 7TL",yes,2019-03-31,2017-12-01,,0.08,10,10,SE/14/02774/PAC - Superseded,local-authority-eng:SEV,not owned by a public authority,2014-10-09,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,Other,POINT(0.173656 51.3964),BFR85,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR85
"First Floor & Second Floor, 96 High Street",yes,,2019-12-18,,0.1,35,35,SE/14/01202/PAC - Expired. Sevenoaks District Council owned to be developed,local-authority-eng:SEV,owned by a public authority,2014-05-28,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,Other,POINT(0.1934 51.270683),BFR86,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR86
"Meeting Point Day Centre, Rural Age Concern, 27-37 High Street, BR8 8EA",yes,,2019-12-18,,0.14,14,14,SE/15/00216/OUT - Expired. Sevenoaks District Council owned to be developed,local-authority-eng:SEV,owned by a public authority,2015-05-05,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,outline planning permission,POINT(0.178406 51.395281),BFR88,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR88
"Millfield, London Road, TN15 6EU",yes,2019-03-31,2017-12-01,,0.23,5,5,SE/16/02364 - Completed,local-authority-eng:SEV,not owned by a public authority,2016-10-06,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.251929 51.352177),BFR90,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR90
"Former site of the Farmers, London Road",yes,2019-03-31,2020-12-15,,0.23,39,39,SE/13/03596 - Under Construction,local-authority-eng:SEV,mixed ownership,2014-04-29,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.183017 51.277369),BFR91,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR91
Keston and The Beeches,yes,2019-03-31,2017-12-01,,0.31,48,48,SE/04/02248 - Completed,local-authority-eng:SEV,not owned by a public authority,2005-11-24,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.185037 51.402345),BFR92,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR92
98-116 London Road (Salmon's) TN13 1BB,yes,2018-02-01,2020-12-15,,0.33,60,60,SE/14/02075 - Under Construction,local-authority-eng:SEV,not owned by a public authority,2015-06-04,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.188541 51.274516),BFR93,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR93
"58-88 Northview, BR8 7BQ",yes,2019-03-31,2017-12-01,,0.34,31,31,SE/15/03633 - Completed,local-authority-eng:SEV,not owned by a public authority,2016-07-07,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.175766 51.401737),BFR94,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR94
"Raleys Centre, Plymouth Drive, TN13 3RP",yes,2017-08-14,2020-12-15,,0.35,5,5,SE/15/03187 - Completed,local-authority-eng:SEV,not owned by a public authority,2016-07-07,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.19703 51.273911),BFR95,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR95
"Pells Farm, Pells Lane, TN15 6AU",yes,,2017-12-01,,0.38,6,6,SE/14/03807,local-authority-eng:SEV,not owned by a public authority,2015-05-19,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.271105 51.334604),BFR96,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR96
"Tri Officers Mess, 1-4 Armstrong Close, TN14 7BS",yes,,2019-01-18,,0.42,9,9,SE/17/02067,local-authority-eng:SEV,not owned by a public authority,2018-03-29,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.150901 51.315777),BFR97,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR97
"Warren Farm, Main Road, TN14 6EE",yes,2019-12-22,2020-12-15,,0.59,6,6,SE/16/03278/PAC - Expired,local-authority-eng:SEV,not owned by a public authority,2016-12-22,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,Other,POINT(0.137752 51.278513),BFR98,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR98
"Westerham House, Fircroft Way, TN8 6EL",yes,2018-04-18,2020-12-15,,0.71,36,36,SE/15/00376 - Completed,local-authority-eng:SEV,not owned by a public authority,2016-03-16,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.065965 51.207232),BFR99,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR99
Land West of Rosslare Close (former Chruchill School) London Road,yes,2019-03-31,2017-12-01,,1.34,38,38,SE/15/03394 - Completed,local-authority-eng:SEV,not owned by a public authority,2016-03-11,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.072835 51.271439),BFR100,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR100
"United House, Goldsel Road, BR8 8EU",yes,2017-02-20,2020-12-15,,3.7,185,185,SE/16/00253 - Under Construction,local-authority-eng:SEV,not owned by a public authority,2016-04-26,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.177043 51.392538),BFR102,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR102
"Eden Hall, Stick Hill, TN8 5QQ",yes,2020-03-02,2020-12-15,,4.3,26,26,SE/15/03802 - Under Construction,local-authority-eng:SEV,not owned by a public authority,2016-06-17,https://pa.sevenoaks.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.089473 51.166213),BFR103,https://maps.sevenoaks.gov.uk/brownfield_register/,2017-11-01,brownfield-land/local-authority-eng/SEV/BFR103
