site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Two sites at Hurricane Way, Airport Industrial Estate, Norwich",,,2019-12-13,,2.02,40,30,Proposed allocated site in draft GNLP for 30 dwellings,local-authority-eng:NOW,owned by a public authority,,https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/29,not permissioned,,POINT(1.28654 52.666335),N/CAG/001,,2017-12-31
"Start Rite Factory Site, 28 Mousehold Lane, Norwich NR7 8HE",,,2019-12-13,,0.86,40,40,Proposed allocated site in draft GNLP for 40 dwellings,local-authority-eng:NOW,not owned by a public authority,2019-06-06,https://planning.norwich.gov.uk/online-applications/https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/18,permissioned,full planning permission,POINT(1.312351 52.64949),N/CAG/002,,2017-12-31
"297 Aylsham Road/Land at Arminghall Close, Norwich",,,2019-12-13,,2.27,100,100,Part implemented (LIDL store),local-authority-eng:NOW,not owned by a public authority,,https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/21,not permissioned,,POINT(1.281767 52.651403),N/CAG/006,,2017-12-31
"Land At Corner Of Knox Road and Plumstead Road, Norwich NR1 4LQ",yes,,2019-12-13,,0.21,9,9,For planning history search for '16/01354/O and 18/00727/F' at link provided,local-authority-eng:NOW,not owned by a public authority,,https://planning.norwich.gov.uk/online-applications/,permissioned,full planning permission,POINT(1.320005 52.634976),N/CRO/001,,2017-12-31
"Former Church, Heartsease Lane, Norwich",,,2019-12-13,,2.44,,,"Planning permission granted for Construction of new church auditorium with associated children and youth facilities, nursery and car parking with external works and new pedestrian access. (19/00007/F) but not yet implemented",local-authority-eng:NOW,not owned by a public authority,,https://planning.norwich.gov.uk/online-applications/,not permissioned,,POINT(1.325971 52.642093),N/CRO/004,,2017-12-31
"126-128 Barrack Street, Norwich",,,2019-12-18,,0.11,15,15,For planning history search for '06/00964/F' at the first link provided.,local-authority-eng:NOW,not owned by a public authority,2009-04-22,https://planning.norwich.gov.uk/online-applications/https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/16,permissioned,full planning permission,POINT(1.30478 52.636553),N/CRO/005,,2017-12-31
"Bartram Mowers Ltd, Land West of Blubell Road, Norwich",yes,,2019-12-13,,5.47,122,62,15/01646/F - complete Application currently pending for 32 bungalows and 22 apartments (19/00911/F) Proposed allocated site in draft GNLP for 60 units,local-authority-eng:NOW,not owned by a public authority,2016-05-14,https://planning.norwich.gov.uk/online-applications/https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/24,permissioned,full planning permission,POINT(1.247844 52.610735),N/EAT/001,,2017-12-31
"Norfolk Learning Difficulties Centre, Ipswich Road, Norwich",,,2019-12-13,,0.78,30,30,Proposed allocated site in draft GNLP for 15 units.,local-authority-eng:NOW,owned by a public authority,,https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/2,not permissioned,,POINT(1.278158 52.603576),N/EAT/002,,2017-12-31
"Land North Side Of Windmill Road, Norwich",yes,,2019-12-13,,0.19,17,17,For planning history search for '14/00847/F' at link provided,local-authority-eng:NOW,not owned by a public authority,2015-10-07,https://planning.norwich.gov.uk/online-applications/,permissioned,full planning permission,POINT(1.309606 52.650143),N/GAG/003,,2017-12-31
"John Youngs Limited, 24 City Road, Norwich NR1 3AN",,,2019-12-13,,0.89,45,45,Higher density scheme of 75 dwellings may be needed to allow the site to be developed Proposed allocated site in draft GNLP for 45 units,local-authority-eng:NOW,not owned by a public authority,,https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/7,not permissioned,,POINT(1.299689 52.619598),N/LAK/001,,2017-12-31
"Hewett Yard, Hall Road, Norwich",,,2019-12-13,,0.44,20,20,,local-authority-eng:NOW,owned by a public authority,,https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/4,not permissioned,,POINT(1.291798 52.610932),N/LAK/003,,2017-12-31
"Parish Hall And Vicarage Garden Site, Little John Road, Norwich",yes,,2019-12-13,,0.48,10,10,For planning history search for '10/01926/F' at the link provided,local-authority-eng:NOW,not owned by a public authority,2011-05-20,https://planning.norwich.gov.uk/online-applications/,permissioned,full planning permission,POINT(1.284532 52.610577),N/LAK/004,,2017-12-31
"Deal Ground, Bracondale, Norwich",,,2019-12-18,,16.24,580,580,"For planning history search for '12/00875/O' at the first link provided Proposed allocated site in GNLP (Deal Ground, Utilities Site and Carrow Works (GNLP0360 & GNLP3053) for 2000 dwellings.",local-authority-eng:NOW,not owned by a public authority,2013-07-11,https://planning.norwich.gov.uk/online-applications/https://www.norwich.gov.uk/info/20199/local_plan/1582/site_specific_allocations_in_the_remainder_of_the_city/9,permissioned,outline planning permission,POINT(1.317769 52.617546),N/LAK/005,,2017-12-31
"Land at Lily Terrace, Norwich",yes,,2019-12-18,,0.1,5,5,For planning history search for '16/01574/O and 18/01641/RM' at the link provided,local-authority-eng:NOW,not owned by a public authority,2017-02-09,https://planning.norwich.gov.uk/online-applications/,permissioned,outline planning permission,POINT(1.301104 52.622104),N/LAK/006,,2017-12-31
"Ivory House, All Saints Green, Norwich NR1 3NB",,,2019-12-13,,0.09,7,7,For planning history search for 'Ivory House' at the link provided Permission expired 31 August 19,local-authority-eng:NOW,not owned by a public authority,2016-08-24,https://planning.norwich.gov.uk/online-applications/,permissioned,full planning permission,POINT(1.293651 52.623418),N/MAN/002,,2017-12-31
"Anglia Square, Norwich",,,2019-12-13,,4.35,200,200,"For planning history search for 'Anglia Square' at the link provided. Application pending (18/00330/F) for Part Full/Outline application for the comprehensive redevelopment of Anglia Square and adjacent land on Edward Street for: up to 1250 dwellings, hotel, ground floor retail and commercial floorspace, cinema, multi-storey car parks, place of worship and associated works to the highway and public realm areas. Planning Committee resolution 6 Dec 2018 to approve 18/00330/F but called in. Awaiting outcome of public inquiry due to start early 2020. Proposed allocated site in draft GNLP allocation for 1200 dwellings. Original planning consent for 198 dwellings unlikely to be built out.",local-authority-eng:NOW,not owned by a public authority,,https://planning.norwich.gov.uk/online-applications/,not permissioned,,POINT(1.294489 52.636327),N/MAN/003,,2017-12-31
"Barn Road Car Park, Norwich",,,2019-12-13,,0.42,120,120,302 student bedroom equivilent to 120 units,local-authority-eng:NOW,owned by a public authority,2018-11-26,https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/23,permissioned,full planning permission,POINT(1.286202 52.632079),N/MAN/004,,2017-12-31
"5, 6a and 6B Beckham Place, Edward Street, Norwich NR3 3DZ",,,2017-12-31,,0.27,14,14,"For planning history search for '5, 6A And 6B Beckham Place' at the link provided",local-authority-eng:NOW,not owned by a public authority,2011-03-23,https://planning.norwich.gov.uk/online-applications/,permissioned,full planning permission,POINT(1.295139 52.637694),N/MAN/005,,2017-12-31
"60-70 Ber Street, Norwich NR1 3EW",,,2017-12-31,,0.19,20,20,For planning history search for '70 Ber Street' at the first link provided,local-authority-eng:NOW,owned by a public authority,,https://planning.norwich.gov.uk/online-applications/https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations,not permissioned,,POINT(1.298279 52.624036),N/MAN/006,,2017-12-31
"10-14 Ber Street, Norwich NR1 3EJ",,,2019-12-13,,0.1,10,10,Proposed allocated site in draft GNLP for 10 units.,local-authority-eng:NOW,owned by a public authority,,https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/3,not permissioned,,POINT(1.296956 52.625502),N/MAN/007,,2017-12-31
"113-119 Ber Street, Norwich NR1 3EY",yes,,2019-12-13,,0.07,8,8,For planning history search for '16/01266/F' at the link provided,local-authority-eng:NOW,not owned by a public authority,2016-11-10,https://planning.norwich.gov.uk/online-applications/,permissioned,full planning permission,POINT(1.298088 52.623267),N/MAN/008,,2017-12-31
"147-153 Ber Street, Norwich NR1 3EY",,,2019-12-18,,0.18,20,20,Proposed allocated site in GNLP for 150 units (combined with 84-120 Ber Street) - GNLP2159.,local-authority-eng:NOW,not owned by a public authority,,https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/2,not permissioned,,POINT(1.298843 52.622293),N/MAN/009,,2017-12-31
"Land at Argyle Street, Norwich",yes,,2017-12-31,,0.32,12,12,For planning history search for '14/01574/NF3' at the first link provided Proposed allocated site in GNLP for 15 units.,local-authority-eng:NOW,owned by a public authority,,https://planning.norwich.gov.uk/online-applications/https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/11,not permissioned,,POINT(1.303725 52.621383),N/MAN/010,,2017-12-31
"Land to rear of City Hall, Bethel Street, Norwich",,,2019-12-18,,0.40,20,20,Proposed allocated site in GNLP for 20 units.,local-authority-eng:NOW,owned by a public authority,,https://www.norwich.gov.uk/info/20199/local_plan/1544/city_centre_site_specific_allocations/25,not permissioned,,POINT(1.290912 52.628665),N/MAN/012,,2017-12-31
"59 Bethel Street, Norwich NR2 1NR",yes,,2019-12-18,,0.11,14,14,For planning history search for '59 Bethel Street' and/or '09/01005/L' at the link provided Conversion element complete (8 units). 14 units still to be built to the rear.,local-authority-eng:NOW,not owned by a public authority,,https://planning.norwich.gov.uk/online-applications/,not permissioned,,POINT(1.28807 52.628601),N/MAN/013,,2017-12-31
