site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Haulage Depot, St Thomas's Road",yes,,2017-12-01,,0.4,15,15,Haulage Depot,local-authority-eng:STF,not owned by a public authority,,,not permissioned,,POINT(-1.98558 52.953983),UT019,https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,2017-12-01,brownfield-land/local-authority-eng/STF/UT019
"Churnet Works, Macclesfield Road",,,2017-12-01,,9.9,0,0,Has planning permission for mixed use development,local-authority-eng:STF,not owned by a public authority,,,permissioned,reserved matters approval,POINT(-2.037829 53.111071),LE060,https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,2017-12-01,brownfield-land/local-authority-eng/STF/LE060
"Former reservoirs off, Land at Bridge End, Macclesfield Road",yes,,2017-12-01,,1.1,11,11,Has outline planning permission for 11 dwellings granted at appeal 5/11/2014,local-authority-eng:STF,not owned by a public authority,,,permissioned,outline planning permission,POINT(-2.040834 53.113255),LE071A,https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,2017-12-01,brownfield-land/local-authority-eng/STF/LE071A
"Kniveden Hall and Springhill, Mount Road",,,2017-12-01,,3.5,50,50,Care home in wooded grounds,local-authority-eng:STF,owned by a public authority,,,not permissioned,,,LE066,https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,2017-12-01,brownfield-land/local-authority-eng/STF/LE066
"Portland Mill, Portland Street",yes,,2017-12-01,,0.46,35,35,Conv of mill into 18 townhouses and apartments plus erection of 17 new houses.,local-authority-eng:STF,not owned by a public authority,,,permissioned,full planning permission,POINT(-2.016988 53.107076),LE073,https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,2017-12-01,brownfield-land/local-authority-eng/STF/LE073
"Site of former, Meadows School, Tunstall Road",,,2017-12-01,,0.66,20,20,Former school now derelict,local-authority-eng:STF,owned by a public authority,,,not permissioned,,POINT(-2.179966 53.109692),BD055,https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,2017-12-01,brownfield-land/local-authority-eng/STF/BD055
"Uplands Mill, The Uplands",yes,,2017-12-01,,6.55,107,107,Residential redevelopment under construction,local-authority-eng:STF,not owned by a public authority,,,permissioned,outline planning permission,POINT(-2.163702 53.122569),BD056,https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,2017-12-01,brownfield-land/local-authority-eng/STF/BD056
"Forge Colour Works, Congleton Road",,,2017-12-01,,1.76,19,19,Has permission,local-authority-eng:STF,,,,permissioned,full planning permission,POINT(-2.168413 53.135021),BD070,https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,2017-12-01,brownfield-land/local-authority-eng/STF/BD070
"Land adjacent to The Orchard, , Springfield Drive",yes,,2017-12-01,,0.38,7,7,Has planning permission for residential development,local-authority-eng:STF,,,,permissioned,full planning permission,POINT(-2.008758 53.107958),LE089,https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,2017-12-01,brownfield-land/local-authority-eng/STF/LE089
"Former, Anzio Camp, Buxton Road",,,2017-12-01,,9.67,250,250,Former MOD training camp,local-authority-eng:STF,not owned by a public authority,,,not permissioned,,POINT(-1.991426 53.128848),OC050,https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,2017-12-01,brownfield-land/local-authority-eng/STF/OC050
"Minster Mill, Walley Street",,,2017-12-01,,0.28,42,42,Underused retail & employment site,local-authority-eng:STF,not owned by a public authority,,,not permissioned,,POINT(-2.174714 53.118661),BD102,https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,2017-12-01,brownfield-land/local-authority-eng/STF/BD102
"Hurst Yard, Meadow Drive / Bank Street",yes,,2017-12-01,,0.95,42,42,Has permission for 42 residential units - all social rented,local-authority-eng:STF,not owned by a public authority,,,permissioned,full planning permission,POINT(-1.989264 52.985185),CH014,https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,2017-12-01,brownfield-land/local-authority-eng/STF/CH014
"Stoddards Depot, Leek Road",,,2017-12-01,,0.8,32,32,Coach Depot and Oil Depot Yard,local-authority-eng:STF,not owned by a public authority,,,not permissioned,,POINT(-1.986105 52.990209),CH015,https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,2017-12-01,brownfield-land/local-authority-eng/STF/CH015
"Land north of, The Green",,,2017-12-01,,1.2,42,42,Mixed Use Site,local-authority-eng:STF,not owned by a public authority,,,not permissioned,,POINT(-2.005827 52.984133),CH020,https://www.staffsmoorlands.gov.uk/article/1366/Housing-strategies,2017-12-01,brownfield-land/local-authority-eng/STF/CH020
