site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Heathside and Lethbridge Estate,yes,,2019-10-21,,6.05,679,679,"DC/09/72554 dated 22 March 2010, as amended by: DC/10/75267 dated 29 September 2010, DC/10/75395 dated 27 January 2011, DC/12/81165 dated 24 January 2013, 14/087333, DC/14/087835 dated 18 August 2014, DC/14/087335 dated 28 October 2014, DC/15/090624 dated 21 April 2015, DC/15/092670 dated 21 August 2015, DC/17/101616 dated 19 June 2017, DC/17/101686 dated 24 August 2017, DC/17/104709 dated 1 December 2017 and DC/18/106053 dated 29 March 2018 for mixed use development including 2-6 phases with a total of 1,225 residential units minus 565 existing units, with phase 4 (236 units) still to be logged as completed and phases 5 (284 units) and 6 (159 units) still to be approved 18/107715 and s73 Minor Material Amendment for an additional 34 residential units in Phases 5 and 6, up to 512m2 retail floorspace and 768m2 community floorspace",local-authority-eng:LEW,mixed ownership,2019-04-12,,permissioned,other,POINT(-0.0128 51.47114),BK001,,2017-11-30
1 Myron Place,yes,,2017-11-30,,0.02,12,12,16/099036 Prior Approval for residential development including 12 studio flats,local-authority-eng:LEW,not owned by a public authority,2016-12-21,,permissioned,full planning permission,POINT(-0.0092 51.46277),BK007,,2017-11-30
"Our Lady of Lourdes School, Belmont Hill",yes,,2017-11-30,,0.26,9,9,15/094157 for residential development including 9 x four bedroom town houses comprising three pairs of semi-detached houses and one terrace of three houses,local-authority-eng:LEW,not owned by a public authority,2016-01-08,,permissioned,full planning permission,POINT(-0.00218 51.46321),BK008,,2017-11-30
Garages at 49-71 Dacre Park,yes,,2017-11-30,,0.09,5,5,14/89973 for residential development including 5 x two bedroom mews houses,local-authority-eng:LEW,owned by a public authority,2015-04-22,,permissioned,full planning permission,POINT(0.003934 51.46084),BK009,,2017-11-30
17 Brandram Road,,,2018-10-22,,0.03,6,6,Lapsed 07/65979 and Lapsed 09/73230 for residential development including 4 x one bedroom and 2 x two bedroom self-contained flats,local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,POINT(0.001491 51.46022),BK010,,2017-11-30
179 Lee High Road,yes,,2019-10-21,,0.26,2,2,"18/109368 for mixed use development including 3 x one bed flats, one commercial unit ( A1)",local-authority-eng:LEW,not owned by a public authority,2019-03-14,,permissioned,full planning permission,POINT(0.003479 51.458777),BK011,,2019-10-21
Merchant Taylors Almshouses Brandram Road,yes,,2019-10-21,,0.28,5,5,10/74140 for residential development including 2 x three bedroom houses and 2 x two bedroom semi-detached houses,local-authority-eng:LEW,not owned by a public authority,2016-01-08,,permissioned,full planning permission,POINT(0.002159 51.459479),BK012,,2019-10-21
117 Dunfield Road,yes,,2017-11-30,,0.04,7,7,"16/99506 for residential development including 4 x one bedroom, 3 x two bedroom and 1 x three bedroom self-contained flats",local-authority-eng:LEW,not owned by a public authority,2017-05-19,,permissioned,full planning permission,POINT(-0.01676 51.4245),BL002,,2017-11-30
"Kenton Court, 132 Adamsrill Road",yes,,2018-10-22,,0.2,25,25,"17/103961 for residential development including 5 x one bedroom, 15 x two bedroom, 4 x three bedroom and 1 x four bedroom self contained flats",local-authority-eng:LEW,owned by a public authority,2017-12-20,,permissioned,full planning permission,POINT(-0.04084 51.43023),BL003,,2018-10-22
"Home Park Housing Office, 129 Winchfield Road",yes,,2018-10-22,,0.24,31,31,"18/106485 for mixed use development including 8 x one bedroom, 16 x two bedroom, 7 x three bedroomed self-contained flats, one commercial unit",local-authority-eng:LEW,mixed ownership,2018-08-20,,permissioned,full planning permission,POINT(-0.03969 51.42521),BL004,,2018-10-22
86-92 Bell Green,yes,,2019-10-21,,0.04,19,19,"17/102792 for mixed use development including 23 residential units, 59m2 commercial ground floor space ( A1, A2 & B1)",local-authority-eng:LEW,not owned by a public authority,2019-03-08,,permissioned,full planning permission,POINT(-0.037628 51.429209),BL005,,2019-10-21
"302-308, 310-312 New Cross Road",yes,,2019-10-21,,0.09,11,11,"Lapsed 15/93085 for mixed use development including 16 x studio flats and 2 x one bedroom self-contained flats, live-work accommodation (sui-generis), workspace and flexible retail",local-authority-eng:LEW,not owned by a public authority,2015-12-09,,permissioned,full planning permission,POINT(-0.0374 51.47538),BR001,,2017-11-30
1 Brockley Cross,yes,,2017-11-30,,0.02,5,5,"17/100503 for residential development including 3 x one bedroom and 2 x two bedroom self-contained flats, one office unit (B1)",local-authority-eng:LEW,not owned by a public authority,2017-05-22,,permissioned,full planning permission,POINT(-0.03528 51.46578),BR003,,2017-11-30
97 - 103 Florence Road,,,2018-10-22,,0.09,9,9,"Lapsed 09/73121 for residential development including 1 x three bedroom, 2 x two bedroom and 6 x one bedroom self-contained flats",local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,POINT(-0.03072 51.47231),BR004,,2017-11-30
Land adjoining 196 Brockley Road,,,2018-10-22,,0.02,5,5,Lapsed 11/77443 for residential development including 2 x one bedroom and 2 x two bedroom self-contained flats and 1 x two bedroom self-contained maisonette,local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,POINT(-0.03592 51.46276),BR005,,2017-11-30
