site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
The Depot (Commercial Centre) Old Bracknell Lane West Bracknell,,,2019-12-11,,1.53,115,115,Site Allocated in Local Plan PDL in Defined Settlenments,local-authority-eng:BRC,owned by a public authority,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,not permissioned,,POINT(-0.755259 51.412427),Map ref 1 Policy SA1 SALP (July 2013),https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01
Albert Road Car Park Bracknell,,,2019-12-11,,0.53,40,40,Site Allocated in Local Plan - PDL in Defined Settlenments,local-authority-eng:BRC,owned by a public authority,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,not permissioned,,POINT(-0.751896 51.419225),Map ref 2 Policy SA1 SALP (July 2013),https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01
Land at Battle Bridge House & garage Forest Road Warfield,,,2019-12-11,,0.29,10,10,Site Allocated in Local Plan - PDL in Defined Settlenments,local-authority-eng:BRC,,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,not permissioned,,POINT(-0.749171 51.435292),Map ref 4 Policy SA1 SALP (July 2013),https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01
White Cairn Dukes Ride Crowthorne,,,2019-12-11,,0.5,16,16,Site Allocated in Local Plan - Edge of Settlement Site,local-authority-eng:BRC,not owned by a public authority,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,not permissioned,,POINT(-0.810864 51.368053),Map ref 5 Policy SA3 SALP (July 2013),https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01
Old Bracknell Lane West Bracknell,,,2019-12-11,,2.51,131,131,Site Allocated in Local Plan - PDL in Defined Settlenments,local-authority-eng:BRC,not owned by a public authority,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,not permissioned,,POINT(-0.755259 51.412427),Map ref 7 Policy SA1 Residual SALP (July 2013),https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01
Land North of Eastern Road (Greenwood/MOT/Radius Court),,,2019-12-11,,1.98,188,188,Site Allocated in Local Plan - PDL in Defined Settlenments,local-authority-eng:BRC,not owned by a public authority,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,not permissioned,,POINT(-0.739744 51.415552),Map Ref 8 Policy SA1 SALP Residual (July 2013),https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01
Land at Broadmoor Crowthorne,,,2019-12-11,,15.0,270,270,Site Allocated in Local Plan - Mixed use development. Site is affected by a number of heritage constraints.,local-authority-eng:BRC,not owned by a public authority,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,not permissioned,,POINT(-0.781 51.369086),Map Ref 9 Policy SA4 SALP (July 2013),https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01
Bus depot Coldborough House Market Street Bracknell,,,2019-12-11,,0.61,242,242,"Site cleared, demolition of exiting building completed early December 2019. construction not implemented.",local-authority-eng:BRC,not owned by a public authority,2018-11-30,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,permissioned,full planning permission,POINT(-0.753731 51.414137),Map Ref 13 18/00964/FUL,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01
Coopers Hill Old Bracknell Lane North Bracknell,,,2019-12-11,,1.06,69,69,,local-authority-eng:BRC,owned by a public authority,,https://consult.bracknell-forest.gov.uk/file/5519138,not permissioned,,POINT(-0.751336 51.412349),Map Ref 15 BRA13 Coopers Hill,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01
Crossways Residential Care Home 306 Yorktown Road Sandhurst,,,2019-12-11,,0.16,5,5,,local-authority-eng:BRC,not owned by a public authority,2018-03-02,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,permissioned,full planning permission,POINT(-0.738807 51.341923),Map Ref 18 16/00221/FUL,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01
