site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Springfield, Mill Road, Aveley",yes,,2017-12-30,,0.4612,7,7,,local-authority-eng:THR,Not owned by a Public Authority,2017-10-20,,permissioned,full planning permission,POINT(0.25021 51.50191),AVE_14,https://thurrock.gov.uk/brownfield-map,2016-06-30
"Aveley Football Ground, Mill Road, Aveley",yes,,2017-12-30,,2.4975,114,114,,local-authority-eng:THR,Not owned by a Public Authority,2016-03-11,,permissioned,full planning permission,POINT(0.25282 51.50342),AVE_19,https://thurrock.gov.uk/brownfield-map,2016-06-30
"Adjacent 1 Park Lane, Aveley",yes,,2017-12-30,,0.1708,9,9,,local-authority-eng:THR,Not owned by a Public Authority,2016-08-19,,permissioned,full planning permission,POINT(0.2598 51.49962),AVE_45,https://thurrock.gov.uk/brownfield-map,2016-06-30
"79 High Street, Aveley, RM15 4AX",yes,,2017-12-30,,0.1417,8,8,,local-authority-eng:THR,Not owned by a Public Authority,,,Not Permissioned,,POINT(0.25209 51.49944),AVE_46,https://thurrock.gov.uk/brownfield-map,2016-06-30
"The Culver Centre, Daiglen Drive, South Ockendon",yes,,2017-12-30,,2.0056,220,220,,local-authority-eng:THR,Owned by a Public Authority,,,Not Permissioned,,POINT(0.2846 51.50718),BEL_09,https://thurrock.gov.uk/brownfield-map,2016-06-30
"146 South Road, South Ockendon, RM15 6BX",yes,,2017-12-30,,0.1492,7,7,,local-authority-eng:THR,Not owned by a Public Authority,2015-10-02,,permissioned,full planning permission,POINT(0.29217 51.515),BEL_11,https://thurrock.gov.uk/brownfield-map,2016-06-30
"Bentons Farm, Mollands Lane, South Ockendon",yes,,2017-12-30,,0.3567,10,10,,local-authority-eng:THR,Not owned by a Public Authority,2016-04-11,,permissioned,full planning permission,POINT(0.29624 51.51641),BEL_14,https://thurrock.gov.uk/brownfield-map,2016-06-30
"Adjacent Bentons Farm, Mollands Lane, South Ockendon",yes,,2017-12-30,,0.3094,16,16,,local-authority-eng:THR,Not owned by a Public Authority,2016-10-25,,permissioned,full planning permission,POINT(0.29694 51.51637),BEL_16,https://thurrock.gov.uk/brownfield-map,2017-12-30
"Petrol Station, Lampits Hill, Corringham",yes,,2017-12-30,,0.0937,3,3,,local-authority-eng:THR,Not owned by a Public Authority,,,Not Permissioned,,POINT(0.45974 51.52643),COF_11,https://thurrock.gov.uk/brownfield-map,2016-06-30
"Land and buildings at 19-29 Lampits Hill, Corringham",yes,,2017-12-30,,0.1976,8,8,,local-authority-eng:THR,Not owned by a Public Authority,2015-09-17,,permissioned,full planning permission,POINT(0.45992 51.52614),COF_13,https://thurrock.gov.uk/brownfield-map,2016-06-30
