site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Stanton Tip - Hempshill Vale,,,2017-12-14,,42.62,500,500,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,not permissioned,,254,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=452818.0658999998&xmax=453863.7862999998&ymin=343821.03360000066&ymax=344604.7441000007",2017-12-14
"Site of the former The Globe, 196 Denman Street Central",,31/03/2019,2019-08-12,,0.07,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,,,274,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455692.2463999996&xmax=455727.1972000003&ymin=340389.0039000008&ymax=340423.75400000066",2017-12-14
"Red Cross Society (Notts HQ), Gregory Street",yes,,2019-08-12,,0.13,23,23,DevelopmentDescription: Erection of 22 two bed apartments and 1 one bed apartment; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-11-22,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P7261HLYK6100,permissioned,full planning permission,275,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455286.54810000025&xmax=455333.70160000026&ymin=338828.0007000007&ymax=338872.99789999984",2017-12-14
"Eagle Press island site, Robin Hood Way",yes,,2017-12-14,,0.31,42,42,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-12-19,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PQLVF4LYHWM00,permissioned,full planning permission,279,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456847.11390000023&xmax=456934.8925000001&ymin=338211.8959999997&ymax=338294.85339999944",2017-12-14
"Old Rectory, Village Road",yes,,2019-08-12,,0.51,0,0,DevelopmentDescription: Multiple applications POSSIBLY Three new dwellings in grounds of existing property.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2015-08-21,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NK9Z74LY01B00,Not Permissioned,,283,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454534.3016999997&xmax=454627.52859999985&ymin=334835.70350000076&ymax=334929.1766999997",2017-12-14
"Enderleigh, The Crescent",,31/03/2019,2019-08-12,,0.33,,,DevelopmentDescription: 10 dwellings and associated works.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-12-01,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OUIBCSLYHOG00,permissioned,full planning permission,313,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457780.75320000015&xmax=457843.24260000046&ymin=341697.1695000008&ymax=341770.19859999977",2017-12-14
"Waterside - Daleside Road, Trent Lane Basin,",yes,,2017-12-14,,8.99,253,253,"DevelopmentDescription: Multiple applications. 13/03029/PFUL3 for 160dw (ph1:41, ph2:31,ph3:31. Phase 2 under construction 44dw complete in 16/17 and 23dw in 19/20 complete leaving 253 in 2020 inc 15/00837/PFUL3 for 10dw; SiteInformation: N/A; NonHousingDevelopment: mixed use; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2017-06-23,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O9MGPMLYKSQ00,permissioned,reserved matters approval,326,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458724.4994999999&xmax=459073.49650000036&ymin=338763.39919999987&ymax=339162.1651000008",2017-12-14
"Police garage and offices, 24-30 Shakespeare Street",,,2017-12-14,,0.19,0,0,DevelopmentDescription: 44 dwellings .Variation of condition S1 (external design changes) of 12/01581/PFUL3; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2015-09-24,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NQEEWSLYCB000,Not Permissioned,,327,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457121.5524000004&xmax=457188.79920000024&ymin=340362.20160000026&ymax=340412.59720000066",2017-12-14
123 Huntingdon Street,yes,,2019-08-12,,0.24,147,147,DevelopmentDescription: Demolition of existing buildings and erection of student accommodation development of varying heights (maximum 8 storeys) and ancillary facilities.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-10-10,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P54FUNLYMPU00,permissioned,full planning permission,333,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457404.30030000024&xmax=457474.9358000001&ymin=340517.79700000025&ymax=340583.6983000003",2017-12-14
"West Trent Works, Wilford Crescent",yes,,2017-12-14,,0.31,24,24,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-08-02,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCK0OYLYFLY00,permissioned,full planning permission,342,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457676.8985000001&xmax=457752.3491000002&ymin=338026.1702999994&ymax=338098.89949999936",2017-12-14
Canal Quarter - Crocus Street Southpoint,yes,,2019-08-12,,0.9400000000000001,150,150,DevelopmentDescription: Permission for 150 dw; SiteInformation: N/A; NonHousingDevelopment: mixed use; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-06-11,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PGBI1PLYGB300,permissioned,full planning permission,347,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457721.25&xmax=457872.4500000002&ymin=338996.0254999995&ymax=339066.5",2017-12-14
Land between Bancroft and 4 Barrack Lane,,31/03/2019,2017-12-14,,0.08,0,0,DevelopmentDescription: Redevelopment to provide 16 residential apartments following demolition.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2014-09-09,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N724A7LYCB000,permissioned,full planning permission,360,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455956.0965999998&xmax=456006.54810000025&ymin=339939.5025999993&ymax=339968.9043000005",2017-12-14
Green Lane - Fairham House,yes,,2019-08-12,,2.16,24,24,"DevelopmentDescription: 24 apartments with associated car park and other works (outline); a foodstore, 4 non-food retail units and a cafe/restaurant with associated car park, alteration to the site access and other works (full), following demolition of Fairham House.; SiteInformation: N/A; NonHousingDevelopment: mixed use; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2018-12-07,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PEMO7RLYJJF00,permissioned,full planning permission,381,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455012.5482000001&xmax=455231.94930000044&ymin=334261.84779999964&ymax=334480.1451999992",2017-12-14
"Derby Road - Former Hillside Club, Leengate",,,2017-12-14,,1.06,40,30,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,not permissioned,,382,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454908.75129999965&xmax=455071.69820000045&ymin=338971.8995999992&ymax=339168.9032000005",2017-12-14
Wilkinson Street - Former PZ Cussons,,,2017-12-14,,6.6000000000000005,90,65,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,not permissioned,,384,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455099.5700000003&xmax=455442.2000000002&ymin=341643.5999999996&ymax=341958.69999999925",2017-12-14
Salisbury Street,yes,,2019-08-12,,0.52,21,21,DevelopmentDescription: Outline application for residential development of 21 dwellings.; SiteInformation: N/A; NonHousingDevelopment: mixed use; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-02-22,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O5KK8FLYIYO00,permissioned,outline planning permission,390,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455055.9500000002&xmax=455222.5&ymin=339876.2400000002&ymax=339970.55000000075",2017-12-14
"6 Ilkeston Road, Junction of Ilkeston Road and Alfreton Road, Canning Circus",,31/03/2019,2019-08-12,,0.09,,,DevelopmentDescription: Multiple applications POSSIBLY. Construction of student accommodation comprising 103 bedspaces in 69 flats with associated social space.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-09-23,,permissioned,full planning permission,391,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456290.6975999996&xmax=456347.0033&ymin=340174.1953999996&ymax=340208.59559999965",2017-12-14
Carlton Road- Former Co-op,,,2017-12-14,,0.6,0,0,DevelopmentDescription: Retail built out on whole of the site; SiteInformation: N/A; NonHousingDevelopment: Mixed use; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,not permissioned,,399,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458452.8406999996&xmax=458541.54980000015&ymin=340284.45460000075&ymax=340387.60419999994",2017-12-14
"Various uses, Alfred Street North",,31/03/2019,2019-08-12,,0.28,,,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-12-14,,,,401,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457119.9034000002&xmax=457193.5482000001&ymin=340905.1461999994&ymax=340969.3978000004",2017-12-14
"Woodyard Lane - Siemens, Lambourne Drive",yes,,2017-12-14,,3.74,110,110,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-09-27,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P2HFHNLYFNS00,permissioned,outline planning permission,405,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=452860.12820000015&xmax=453211.75&ymin=340485.94999999925&ymax=340616.83919999935",2017-12-14
"Site of the Wilford Public House, Gritley Mews",,,2017-12-14,,0.19,15,15,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,Not Permissioned,,407,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456939.6003999999&xmax=456990.59609999973&ymin=338741.29560000077&ymax=338810.9455999993",2017-12-14
