site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Marine Hill House Marine Hill Clevedon,yes,,2018-12-31,,0.38,9,9,11/P/2183/F. Conversion of listed building to 8 flats and 1 house,local-authority-eng:NSM,not owned by a public authority,2012-03-28,https://planning.n-somerset.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.860277 51.44346),NSBR0001,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.6117992756442091&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=340335.003&y=171946.308&scale=1024,2017-12-31
Former Royal Oak 41 High Street Nailsea,yes,,2018-12-31,,0.25,10,10,16/P/0907/F. Erection of a building comprising 10 residential units,local-authority-eng:NSM,not owned by a public authority,2017-01-05,https://planning.n-somerset.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.754196 51.434039),NSBR0002,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.6117992756442091&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=347704.985&y=170825.017&scale=2048,2017-12-31
Nailsea Police Station Stockway South Nailsea,yes,,2018-12-31,,0.56,40,40,15/P/2851/F. Redevelopment to form retirement apartments,local-authority-eng:NSM,not owned by a public authority,2017-06-30,https://planning.n-somerset.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.758919 51.431655),NSBR0003,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.6117992756442091&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=347380.316&y=170555.519&scale=2048,2017-12-31
Marine View Harbour Road Portishead,yes,,2018-12-31,,0.97,126,126,16/P/2855/F. Erection of three pavillion style buildings comprising 126 retirement apartments,local-authority-eng:NSM,not owned by a public authority,2017-03-09,https://planning.n-somerset.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.761506 51.486152),NSBR0005,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=347254.622&y=176638.449&scale=2048,2017-12-31
South west of Severn Paper Mill site Portishead,yes,,2018-12-31,,1.62,69,69,16/P/1608/F. Erection of new dwellings and employment unit,local-authority-eng:NSM,not owned by a public authority,2017-11-07,https://planning.n-somerset.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.757752 51.486622),NSBR0006,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=347498.462&y=176691.010&scale=2048,2017-12-31
Bayside Hotel Manilla Crescent Weston-super-Mare,yes,,2018-12-31,,0.15,24,24,14/P/1791/F. Demolition of former hotel building and erection of a five storey building containing 24 apartments,local-authority-eng:NSM,not owned by a public authority,2017-11-03,https://planning.n-somerset.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.987187 51.353502),NSBR0007,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=331388.324&y=162072.126&scale=2048,2017-12-31
Former Weston Library Boulevard Weston-super-Mare,yes,,2018-12-31,,0.1,22,22,16/P/0507/F. Conversion of building to 22 flats,local-authority-eng:NSM,not owned by a public authority,2017-02-22,https://planning.n-somerset.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.972707 51.350088),NSBR0009,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=332368.599&y=161680.410&scale=1024,2017-12-31
Oxford Plasma Technology North End Road Yatton,yes,,2018-12-31,,1.41,55,55,15/P/1299/O. Residential development of 55 dwellings,local-authority-eng:NSM,not owned by a public authority,2017-11-15,https://planning.n-somerset.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-2.829755 51.393577),NSBR0010,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=342399.003&y=166408.261&scale=4096,2017-12-31
Winford Coach Station 10 High Street Winford,yes,,2018-12-31,,0.24,11,11,17/P/1146/RM. Demolition of existing buildings and erection of 11 new dwellings,local-authority-eng:NSM,not owned by a public authority,2017-08-16,https://planning.n-somerset.gov.uk/online-applications/,permissioned,reserved matters approval,POINT(-2.662487 51.382566),NSBR0012,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=354021.187&y=165063.767&scale=4096,2017-12-31
Barrow Hospital Barrow Gurney,yes,,2018-12-31,,4.49,12,12,13/P/0749/RM. Erection of 43 new build dwellings (residual capacity at 2018 = 12 units),local-authority-eng:NSM,not owned by a public authority,2013-07-24,https://planning.n-somerset.gov.uk/online-applications/,permissioned,reserved matters approval,POINT(-2.662254 51.41612),NSBR0013,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=354089.744&y=168887.001&scale=4096,2017-12-31
Land at Western Trade Centre Knightcott Road Banwell,yes,,2018-12-31,,0.37,10,10,15/P/0968/O. Erection of 10 dwellings,local-authority-eng:NSM,not owned by a public authority,2016-02-05,https://planning.n-somerset.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-2.884607 51.329087),NSBR0014,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=338570.116&y=159224.142&scale=4096,2017-12-31
Tickenham Garden Centre Clevedon Road Tickenham,yes,,2018-12-31,,1.94,32,32,16/P/0032/O. Redevelopment of vacant garden centre site to provide 32 new dwellings and 900sqm office space,local-authority-eng:NSM,not owned by a public authority,2017-06-23,https://planning.n-somerset.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-2.777535 51.442458),NSBR0015,http://map.n-omerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=346136.073&y=171781.995&scale=4096,2017-12-31
Bleadon Quarry Bleadon,yes,,2018-12-31,,3.42,42,42,14/P/0687/O. Redevelopment of site and erection of 42 dwellings,local-authority-eng:NSM,not owned by a public authority,2016-08-08,https://planning.n-somerset.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-2.946447 51.305194),NSBR0016,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=334246.414&y=156585.034&scale=8192,2017-12-31
Royal Pier Hotel Birnbeck Road Weston-super-Mare,yes,,2018-12-31,,0.17,63,63,11/P/0006/F. Demolition of hotel and construction of 63 apartments,local-authority-eng:NSM,not owned by a public authority,,https://planning.n-somerset.gov.uk/online-applications/,pending decision,,POINT(-2.994273 51.354976),NSBR0017,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=330877.148&y=162235.210&scale=1024,2017-12-31
Harbour Road Gordano Gate site Portishead,yes,,2018-12-31,,0.63,93,93,16/P/2066/F. Erection of 93 dwellings and office unit,local-authority-eng:NSM,not owned by a public authority,2018-02-07,https://planning.n-somerset.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.75854 51.48327),NSBR0018,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=347419.213&y=176290.843&scale=2048,2017-12-31
Barrow Hospital (1) Barrow Gurney,yes,,2018-12-31,,5.54,66,66,15/P/2301/F. Erection of 66 dwellings,local-authority-eng:NSM,not owned by a public authority,2018-01-12,https://planning.n-somerset.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.662665 51.418105),NSBR0019,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=354158.049&y=168894.598&scale=8192,2017-12-31
Barrow Hospital (2) Barrow Gurney,yes,,2018-12-31,,1.82,14,14,15/P/2302/F. Erection of 14 dwellings,local-authority-eng:NSM,not owned by a public authority,2018-01-12,https://planning.n-somerset.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.662201 51.41605),NSBR0020,http://map.n-somerset.gov.uk/map/Aurora.svc/run?embedded=true&nocache=0.5788848812441214&script=%5cAurora%5cBrownfieldSiteRegister.AuroraScript%24&x=354158.049&y=168894.598&scale=8192,2017-12-31
