site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Land at Felixstowe Sunday Market site Sea Road,yes,,2017-12-01,,0.58,0,0,"Erection of building containing 48 flats over ground floor commercial units. Erection of 11 houses (includes new private access road, parking and external works).",local-authority-eng:SUF,not owned by a public authority,,http://publicaccess.eastsuffolk.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,pending decision,,POINT(1.337876 51.952098),SCDC001,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,2017-12-01
Old Station Works Westerfield Road Westerfield Ipswich IP6 9AB,yes,,2017-12-01,,3.65,0,0,"Outline permission for the redevelopment of the site for a mixed use scheme comprising 1,120 sqm of office floorspace, 35 dwellings (12 affordable), 160sqm community floorspace, publicly accessible open space and associated works.",local-authority-eng:SUF,not owned by a public authority,2016-11-04,http://publicaccess.eastsuffolk.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,outline planning permission,POINT(1.169579 52.082148),SCDC002,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,2017-12-01
Street Farm The Street Witnesham Ipswich IP6 9HG,yes,,2017-12-01,,0.71,0,0,,local-authority-eng:SUF,not owned by a public authority,,,not permissioned,,POINT(1.187713 52.10552),SCDC003,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,2017-12-01
Garage site Langer Road Felixstowe IP11 2HS,yes,,2017-12-01,,0.15,0,0,Erection of 5 dwellings and alterations to existing vehicular access,local-authority-eng:SUF,not owned by a public authority,2011-11-03,http://publicaccess.eastsuffolk.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(1.337852 51.955499),SCDC004,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,2017-12-01
Penfold Road Felixstowe Suffolk IP11 7BP,yes,,2017-12-01,,0.12,0,0,Demolition of existing building and construction of 5 dwellings with access and garaging (Outline),local-authority-eng:SUF,not owned by a public authority,2014-12-05,http://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NDR31EQXK7I00,permissioned,outline planning permission,POINT(1.351361 51.965035),SCDC005,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,2017-12-01
38-40 Victoria Street Felixstowe Suffolk IP11 7EW,yes,,2017-12-01,,0.08,0,0,"Conversion of redundant buildings to new dwellings, erection of new flat to site frontage and erection of car ports and associated car parking",local-authority-eng:SUF,not owned by a public authority,2015-03-12,http://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NIXVW0QXFHV00,permissioned,full planning permission,POINT(1.35275 51.962774),SCDC006,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,2017-12-01
Former The Buregate Public House Sea Road Felixstowe Suffolk IP11 2DD,yes,,2017-12-01,,0.03,0,0,Change of use and refurbishment of the Buregate Public House to accommodate 6 residential units with associated parking and landscape works,local-authority-eng:SUF,not owned by a public authority,2016-03-29,http://publicaccess.eastsuffolk.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(1.34143 51.955253),SCDC007,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,2017-12-01
Land At Junction With Garrison Lane And High Road West Felixstowe Suffolk,yes,,2017-12-01,,0.16,0,0,"Built part of site only included; permitted area includes some greenfield land. Residential development of ten units, alterations to existing vehicular access associated external works and parking.",local-authority-eng:SUF,not owned by a public authority,2016-11-17,http://publicaccess.eastsuffolk.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,outline planning permission,POINT(1.346948 51.967572),SCDC008,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,2017-12-01
Former Civil Service Sports Ground Straight Road Foxhall Suffolk IP10 0BZ,yes,,2017-12-01,,0.93,0,0,Proposed demolition of existing buildings and erection of 14 dwellings with associated vehicular access and external works.,local-authority-eng:SUF,not owned by a public authority,2015-07-08,http://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NGZCWIQX06O00,permissioned,full planning permission,POINT(1.238382 52.032778),SCDC009,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,2017-12-01
Atlasfram Group Ltd New Road Framlingham Suffolk IP13 9AT,yes,,2017-12-01,,0.45,0,0,Erection of 16 dwellings following the demolition of existing office buildings (resubmission of previously withdrawn application DC14/2573).,local-authority-eng:SUF,not owned by a public authority,2016-04-07,http://publicaccess.eastsuffolk.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NOA8Y9QXIHY00,permissioned,full planning permission,POINT(1.339714 52.223713),SCDC010,http://waveney.maps.arcgis.com/apps/MapJournal/index.html?appid=1a787ff0d2604387987c86ac1ae56188,2017-12-01
