site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Rear of 129 157 & 159 Cropston Road Anstey,yes,,2017-11-15,,1.7,36,36,Erection of 36 dwellings,local-authority-eng:CHA,not owned by a public authority,2017-03-02,http://portal.charnwood.gov.uk/Northgate/PlanningExplorerAA/Home.aspx,permissioned,full planning permission,POINT(-1.178175 52.678164),PSH3,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-15
Land between 1 and 3 Latimer Street and 10a and 16 Bradgate Road Anstey,,,2017-11-15,,0.13,12,12,,local-authority-eng:CHA,not owned by a public authority,,,not permissioned,,POINT(-1.187489 52.672016),SH10,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-15
Gynsill Court Gynsill Lane Anstey,yes,,2017-11-15,,2.8,40,40,Erection of 40 dwellings. (Reserved matters - outline application P/13/2263/2 refers),local-authority-eng:CHA,not owned by a public authority,2017-05-19,http://portal.charnwood.gov.uk/Northgate/PlanningExplorerAA/Home.aspx,permissioned,full planning permission,POINT(-1.192513 52.661837),SH108,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-15
Warehouse and Premises 83 Hollow Road Anstey,yes,,2017-11-15,,0.07,8,8,Erection of 3 storey apartment building containing eight dwellings,local-authority-eng:CHA,not owned by a public authority,2016-08-01,http://portal.charnwood.gov.uk/Northgate/PlanningExplorerAA/Home.aspx,permissioned,full planning permission,POINT(-1.191331 52.675404),SH17,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-15
Albion Street Anstey,,,2017-11-16,,0.28,8,8,,local-authority-eng:CHA,not owned by a public authority,,,not permissioned,,POINT(-1.186049 52.67473),SH4,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
Hollow Road Anstey General Industrial Anstey,,,2017-11-16,,0.3,9,9,,local-authority-eng:CHA,not owned by a public authority,,,not permissioned,,POINT(-1.193288 52.672757),SH9,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
Meadow Farm Marina Huston Close Barrow Upon Soar,,,2017-11-16,,2.5,35,35,,local-authority-eng:CHA,not owned by a public authority,,,not permissioned,,POINT(-1.134956 52.741757),PSH281,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
3A 9 Melton Road LE12 8NS,yes,,2017-11-16,,0.2,5,5,Site for the erection of 3 detached dwellings and conversion of workshop to form 2 apartments with associated access.,local-authority-eng:CHA,not owned by a public authority,,http://portal.charnwood.gov.uk/Northgate/PlanningExplorerAA/Home.aspx,pending decision,outline planning permission,POINT(-1.147415 52.750801),PSH374,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
Charnwood Mill Sileby Road Barrow Upon Soar,yes,,2017-11-16,,0.67,10,10,"Creation of access following demolition of part of building, use of former employment land for siting for 10 permanent park homes and creation of additional parking for Charnwood Mill and residents of Nos 16-24 Sileby Road. (Revised scheme - P/13/1330/2 refers)",local-authority-eng:CHA,not owned by a public authority,2015-08-03,http://portal.charnwood.gov.uk/Northgate/PlanningExplorerAA/Home.aspx,permissioned,full planning permission,POINT(-1.142992 52.747407),SH18,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
Sturdee Poultry Farms Site Sowters Lane Burton on the Wolds,,,2017-11-16,,3.1,60,60,,local-authority-eng:CHA,not owned by a public authority,,,not permissioned,,POINT(-1.122577 52.782876),PSH182,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
Seymour House Seymour Road LE12 5AH,yes,,2017-11-16,,0.3,6,6,Conversion of dwelling and outbuildings to form six dwellings.,local-authority-eng:CHA,not owned by a public authority,2015-08-20,http://portal.charnwood.gov.uk/Northgate/PlanningExplorerAA/Home.aspx,permissioned,full planning permission,POINT(-1.130466 52.786503),PSH373,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
J R Walton The Leys Hathern,,,2017-11-16,,0.21,6,6,,local-authority-eng:CHA,not owned by a public authority,,,not permissioned,,POINT(-1.253735 52.79225),SH33,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
Land at Frederick Street Loughborough,,,2017-11-16,,0.49,12,12,,local-authority-eng:CHA,not owned by a public authority,,,not permissioned,,POINT(-1.212972 52.769836),PSH119,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
30 Meadow Lane Loughborough,,,2017-11-16,,0.27,8,8,,local-authority-eng:CHA,not owned by a public authority,,,not permissioned,,POINT(-1.202874 52.775747),PSH171,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
Hospital Way Cumberland Road Loughborough,,,2017-11-16,,2.29,39,39,,local-authority-eng:CHA,not owned by a public authority,,,not permissioned,,POINT(-1.22405 52.774521),PSH202,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
