site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Church Street/Main Street, Addingham",yes,,2018-11-01,,0.24,10,7,"Site currently in use for winter grit storage, it is likely to be brought to the market in the near future",local-authority-eng:BRD,owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9301120OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JWFJFXDH0BY00&activeTab=summary|https://planning.bradford.gov,not permissioned,,AD/022,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=408368.23,449443.6,408439.8,449500.52,27700",2017-11-01
"Baildon Golf Clubhouse, Moorgate, Baildon",yes,,2018-11-01,,0.17,0,0,Current golf clubhouse with planning permission for demolition and redevelopment of land for 5 homes,local-authority-eng:BRD,not owned by a public authority,2015-04-17,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J6M85DDHU8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J6MBC9DHU8000&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,BA/026,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415192.55,439992.7506,415252.6502,440044.8209,27700",2017-11-01
"Knoll Terrace, Denby Drive, Baildon",yes,,2018-11-01,,0.1,0,0,Site with permission for 5 townhouses,local-authority-eng:BRD,owned by a public authority,2017-05-12,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NK0MSRDHLT000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=P0YF9ADHIFB00&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,BA/031,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414783.66,438334.89,414827.9683,438361.2846,27700",2018-11-01
"Victoria Street, Bingley",yes,,2018-11-01,,0.39,38,20,Work is starting to demolish and clear the site. The site is suitable for residential and/or mixed uses,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7902222FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=KLZZDFDHFH000&activeTab=summary|https://planning.bradford.gov,not permissioned,,BI/001,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=410869.12,438866.7167,410975.5,438956.85,27700",2017-11-01
"Keighley Road, Crossflatts",yes,,2018-11-01,,0.74,0,0,Permission for 10 units,local-authority-eng:BRD,not owned by a public authority,2018-08-14,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JAZL9KDHU8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8075881FUL&activeTab=summary|https://planning.bradford.gov,permissioned,outline planning permission,BI/006,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=409886.75,440772.3728,410033.0978,440851.75,27700",2017-11-01
"Gilstead Water works. Warren Lane, Eldwick",,,2018-11-01,,4.49,169,138,Site currently in use as water works. The owner has indicated that the site will be available when the site is no longer required.,local-authority-eng:BRD,owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7504010FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=K0RI78DH0A600&activeTab=summary|https://planning.bradford.gov,not permissioned,,BI/021,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=411748.3,439245.511,412063.39,439513.06,27700",2017-11-01
"Marley Court, Crossflatts",yes,,2018-11-01,,0.3,15,12,Cleared site with expired permission. The owners intends resubmitting a planning application in the near future,local-authority-eng:BRD,owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=L3UR9SDH0DX00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LJP2W3DHC1000&activeTab=summary|https://planning.bradford.,not permissioned,,BI/038,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=409833.925,441101.1428,409964.5261,441165.097,27700",2017-11-01
"Former Bingley Auction Mart, Keighley Road",yes,,2018-11-01,,1.76,0,0,The site is considered suitable for mixed use. It has been acquired by a retirement home developer. 104 units under consideration for elderly people,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7801452DUMMY&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7801565FUL&activeTab=summary|https://planning.bradford.gov.,pending decision,,BI/039,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=410393.85,439672.97,410567.2,439900.0,27700",2018-11-01
"Greenholme Mills, Great Pasture Lane, Burley in Wharfedale",yes,,2018-11-01,,2.89,0,0,Land and buildings with permission for conversion and new build.,local-authority-eng:BRD,not owned by a public authority,2017-02-27,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NLTNXBDHLT000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=OURT6XDH0CY00&activeTab=summary|https://planning.bradford.,permissioned,full planning permission,BU/011,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416699.1,446668.45,416875.218,446970.63,27700",2017-11-01
"Fulton Street/Tetley Street/ Sunbridge Road, City Centre",,,2018-11-01,,0.51,100,100,Planning permission has now expired. The site is identified in the City Centre AAP (ref V1.7) as a site suitable for residential development with a minumum 100 homes,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9702664OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9002284ADV&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,,CC/001,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415950.1563,433006.6873,416006.0,433130.4061,27700",2017-11-01
"Hamm Strasse/ Grammar School Street, City Centre",yes,,2018-11-01,,0.51,0,0,Permission approved for 166 unit apartment block,local-authority-eng:BRD,not owned by a public authority,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8102567FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8507048MAJ&activeTab=summary|https://planning.bradford.gov.uk,permissioned,full planning permission,CC/003,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=416116.5938,433524.3505,416213.5625,433638.8123,27700",2017-11-01
"Beehive Mills, Thornton Road, City Centre",,,2018-11-01,,1.05,220,220,Cleared site which had permission for mixed use development but this has expired. Owner intentions at present are unknown but the site is identified in the city centre AAP as having potential for around 220 units. AAP ref V/1.6,local-authority-eng:BRD,mixed ownership,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7606437FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=L5YRPCDH0I700&activeTab=summary|https://planning.bradford.gov,not permissioned,,CC/007,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415602.75,433012.7,415758.0,433139.0499,27700",2017-11-01
