site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Old Hall Caravan Park, Langthorpe",yes,,2019-10-04,,3.02,67,67,Included as housing allocation in Publication Draft Local Plan (currently at examination),local-authority-eng:HAG,not owned by a public authority,,,Not permissioned,,POINT(-1.405267 54.101492),BR1,http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR1,2017-10-04
"Land at the Bungalow, Boroughbridge",yes,,2019-10-04,,0.33,10,10,Included as housing allocation in Publication Draft Local Plan (currently at examination),local-authority-eng:HAG,not owned by a public authority,,,Not permissioned,,POINT(-1.397657 54.087998),BR2,http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR2,2017-10-04
"Land north of Milby Cut, Boroughbridge",,,2019-10-04,,5.54,166,166,,local-authority-eng:HAG,not owned by a public authority,,,Not permissioned,,POINT(-1.392777 54.09986),BR3,http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR3,2017-10-04
"Alfred Hymas site, 1 Copgrove Road, Burton Leonard",yes,,2019-10-04,,1.12,23,23,Included as housing allocation in Publication Draft Local Plan (currently at examination),local-authority-eng:HAG,not owned by a public authority,2019-07-25,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PXMIIIHYKL100|https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OKYQOBHYKRX00,permissioned,full planning permission,POINT(-1.499522 54.068594),BR5,http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR5,2017-10-04
"Nidd Valley Saw Mills, Dacre Banks",,,2019-10-04,,1.44,43,43,,local-authority-eng:HAG,not owned by a public authority,,,Not permissioned,,POINT(-1.696291 54.05692),BR6,http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR6,2017-10-04
"Topseal Systems, Hookstone Chase Industrial Estate, 108 Hookstone Chase, Harrogate",yes,,2019-10-04,,0.25,9,9,Permission for demolition of existing B class premise; outline consent for residential development of 11 dwellings with access considered: 2019-01-29|Permission for demolition of existing B class premise; outline consent for residential development of 9 dwellings with access considered: 2018-12-18,local-authority-eng:HAG,not owned by a public authority,2019-01-29,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P8IT6NHYGP300|https://uniformonline.harrogate.gov.uk/online-applications/appealDetails.do?activeTab=map&keyVal=P70M5XHY09I00,permissioned,outline planning permission,POINT(-1.495354 53.991368),BR7,http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR7,2017-10-04
"Heath Lodge Care Home, Harrogate",yes,,2019-10-04,,0.38,11,11,Included as housing allocation in Publication Draft Local Plan (currently at examination),local-authority-eng:HAG,not owned by a public authority,,,Not permissioned,,POINT(-1.551779 53.982687),BR8,http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR8,2017-10-04
"Greenfield Court, 42 Wetherby Road, Harrogate",yes,,2019-10-04,,0.95,25,25,Included as housing allocation in Publication Draft Local Plan (currently at examination),local-authority-eng:HAG,not owned by a public authority,,,Not permissioned,,POINT(-1.513268 53.990074),BR9,http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR9,2017-10-04
"Land adjacent to Prince of Wales Mansions, Harrogate",,,2019-10-04,,0.25,7,7,,local-authority-eng:HAG,not owned by a public authority,,,Not permissioned,,POINT(-1.538462 53.987844),BR10,http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR10,2017-10-04
"Former Police Training Centre, Yew Tree Lane, Harrogate",yes,,2019-10-04,,3.82,163,163,"Permission for conversion of North Lodge, Headmasters House, Kensington House and Library to form 14 dwellings and erection of 149 dwellings|Included as housing allocation in Publication Draft Local Plan (currently at examination)|Landowner: Homes England",local-authority-eng:HAG,owned by a public authority,2018-10-25,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N94FU1HY64000,permissioned,full planning permission,POINT(-1.554112 53.968351),BR11,http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR11,2017-10-04
"Land at Station Parade, Harrogate",,,2019-10-04,,0.48,50,50,Included as mixed use allocation in Publication Draft Local Plan (currently at examination),local-authority-eng:HAG,not owned by a public authority,,,Not permissioned,,POINT(-1.537887 53.993597),BR12,http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR12,2017-10-04
"Grove Park Centre, Harrogate",,,2019-10-04,,0.31,9,9,,local-authority-eng:HAG,not owned by a public authority,,,Not permissioned,,POINT(-1.529113 54.001331),BR13,http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR13,2017-10-04
"Former Yorkshire Water treatment works, Harlow Hill, Otley Road, Harrogate",yes,,2019-10-04,,0.52,9,9,"Permission for erection of a of 9 dwellings, associated parking and boundary treatments.",local-authority-eng:HAG,not owned by a public authority,2017-11-28,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NR8AM1HYGRT00|https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OR2RJLHYLQV00,permissioned,full planning permission,POINT(-1.55936 53.981946),BR14,http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR14,2017-10-04
"BT Training Centre, St Georges Walk, Harrogate",yes,,2019-10-04,,3.42,88,88,Permission for demolition of existing buildings and erection of 88 dwellings|Included as housing allocation in Publication Draft Local Plan (currently at examination),local-authority-eng:HAG,not owned by a public authority,2018-05-23,https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZ6XKBHY0B000|https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OZF4B7HYN0V00|https://uniformonline.harrogate.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P4RPBBHYG4700,permissioned,full planning permission,POINT(-1.545238 53.976976),BR15,http://harrogatebc.maps.arcgis.com/apps/webappviewer/index.html?id=35605b223adf4a81b45b1a6e1f129a75&find=BR15,2017-10-04
